# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
9634.96426953, 4586.32981285, 4.5, 3160.28757386
9603.38075449, 4568.92287653, 4.49, 3156.41506259
9571.8359759, 4551.54446524, 4.48, 3152.54027704
9540.32995659, 4534.19458681, 4.47, 3148.66320881
9508.86271941, 4516.87324906, 4.46, 3144.78384943
9477.43428729, 4499.58045985, 4.45, 3140.90219037
9446.04468334, 4482.31622711, 4.44, 3137.01822307
9414.69393059, 4465.08055873, 4.43, 3133.1319389
9383.38205234, 4447.8734627, 4.42, 3129.2433292
9352.10907183, 4430.69494698, 4.41, 3125.35238522
9320.8750125, 4413.54501962, 4.4, 3121.45909821
9289.67989777, 4396.42368863, 4.39, 3117.56345932
9258.52375119, 4379.33096211, 4.38, 3113.66545966
9227.4065965, 4362.26684818, 4.37, 3109.76509032
9196.32845736, 4345.23135495, 4.36, 3105.86234227
9165.28935765, 4328.22449062, 4.35, 3101.9572065
9134.28932129, 4311.24626339, 4.34, 3098.04967389
9103.32837226, 4294.29668149, 4.33, 3094.13973528
9072.40653468, 4277.37575317, 4.32, 3090.22738145
9041.52383274, 4260.48348676, 4.31, 3086.31260313
9010.68029076, 4243.61989057, 4.3, 3082.39539101
8979.87593311, 4226.78497296, 4.29, 3078.47573568
8949.11078425, 4209.97874235, 4.28, 3074.55362771
8918.3848688, 4193.20120715, 4.27, 3070.6290576
8887.69821141, 4176.45237584, 4.26, 3066.70201579
8857.05083681, 4159.73225689, 4.25, 3062.77249263
8826.4427699, 4143.04085884, 4.24, 3058.84047848
8795.87403563, 4126.37819026, 4.23, 3054.90596357
8765.34465902, 4109.74425973, 4.22, 3050.96893809
8734.8546653, 4093.1390759, 4.21, 3047.02939221
8704.40407967, 4076.56264743, 4.2, 3043.08731598
8673.99292749, 4060.014983, 4.19, 3039.1426994
8643.62123424, 4043.49609138, 4.18, 3035.19553244
8613.28902542, 4027.0059813, 4.17, 3031.24580497
8582.99632676, 4010.5446616, 4.16, 3027.29350682
8552.74316395, 3994.11214108, 4.15, 3023.33862772
8522.52956288, 3977.70842865, 4.14, 3019.38115737
8492.3555495, 3961.3335332, 4.13, 3015.4210854
8462.22114991, 3944.98746369, 4.12, 3011.45840136
8432.12639029, 3928.6702291, 4.11, 3007.49309474
8402.07129686, 3912.38183845, 4.1, 3003.52515495
8372.05589603, 3896.12230079, 4.09, 2999.55457135
8342.08021432, 3879.89162522, 4.08, 2995.58133322
8312.1442783, 3863.68982087, 4.07, 2991.60542977
8282.2481147, 3847.51689692, 4.06, 2987.62685015
8252.3917503, 3831.37286256, 4.05, 2983.64558342
8222.57521206, 3815.25772704, 4.04, 2979.66161859
8192.798527, 3799.17149964, 4.03, 2975.67494458
8163.0617223, 3783.1141897, 4.02, 2971.68555025
8133.36482515, 3767.08580655, 4.01, 2967.69342437
8103.707863, 3751.08635962, 4.0, 2963.69855566
8074.0908633, 3735.11585833, 3.99, 2959.70093274
8044.5138536, 3719.17431215, 3.98, 2955.70054416
8014.97686172, 3703.26173063, 3.97, 2951.69737843
7985.47991539, 3687.3781233, 3.96, 2947.69142391
7956.02304263, 3671.52349977, 3.95, 2943.68266896
7926.60627145, 3655.69786967, 3.94, 2939.67110181
7897.22963004, 3639.90124269, 3.93, 2935.65671062
7867.89314673, 3624.13362855, 3.92, 2931.63948349
7838.59684992, 3608.39503701, 3.91, 2927.61940842
7809.34076816, 3592.68547788, 3.9, 2923.59647334
7780.12493009, 3577.004961, 3.89, 2919.57066609
7750.94936449, 3561.35349626, 3.88, 2915.54197442
7721.81410032, 3545.73109361, 3.87, 2911.51038603
7692.71916653, 3530.13776299, 3.86, 2907.47588848
7663.66459234, 3514.57351445, 3.85, 2903.4384693
7634.650407, 3499.03835804, 3.84, 2899.3981159
7605.67663991, 3483.53230386, 3.83, 2895.35481561
7576.7433206, 3468.05536206, 3.82, 2891.30855567
7547.85047874, 3452.60754284, 3.81, 2887.25932325
7518.99814413, 3437.18885644, 3.8, 2883.20710541
7490.18634668, 3421.79931314, 3.79, 2879.15188914
7461.41511645, 3406.43892327, 3.78, 2875.0936613
7432.68448359, 3391.10769721, 3.77, 2871.0324087
7403.99447846, 3375.80564538, 3.76, 2866.96811804
7375.34513147, 3360.53277824, 3.75, 2862.90077592
7346.73647321, 3345.2891063, 3.74, 2858.83036885
7318.16853443, 3330.07464015, 3.73, 2854.75688327
7289.64134593, 3314.88939037, 3.72, 2850.68030546
7261.15493872, 3299.73336762, 3.71, 2846.60062166
7232.70934395, 3284.60658261, 3.7, 2842.51781799
7204.30459287, 3269.5090461, 3.69, 2838.43188048
7175.94071691, 3254.44076888, 3.68, 2834.34279505
7147.61774758, 3239.40176181, 3.67, 2830.25054752
7119.33571658, 3224.39203577, 3.66, 2826.15512359
7091.0946558, 3209.41160175, 3.65, 2822.05650892
7062.89459716, 3194.46047071, 3.64, 2817.95468898
7034.7355728, 3179.53865372, 3.63, 2813.84964918
7006.61761503, 3164.64616189, 3.62, 2809.74137484
6978.54075621, 3149.78300635, 3.61, 2805.62985113
6950.50502896, 3134.94919833, 3.6, 2801.51506314
6922.51046594, 3120.14474906, 3.59, 2797.39699582
6894.55710009, 3105.36966988, 3.58, 2793.27563407
6866.64496437, 3090.62397213, 3.57, 2789.15096261
6838.77409199, 3075.90766724, 3.56, 2785.02296607
6810.94451624, 3061.22076666, 3.55, 2780.89162899
6783.15627065, 3046.56328193, 3.54, 2776.75693576
6755.40938884, 3031.93522462, 3.53, 2772.61887067
6727.70390459, 3017.33660637, 3.52, 2768.47741788
6700.0398519, 3002.76743886, 3.51, 2764.33256147
6672.41726484, 2988.22773384, 3.5, 2760.18428534
6644.8361777, 2973.71750311, 3.49, 2756.0325733
6617.29662495, 2959.23675853, 3.48, 2751.87740905
6589.79864116, 2944.785512, 3.47, 2747.71877613
6562.34226112, 2930.36377551, 3.46, 2743.55665798
6534.92751974, 2915.97156107, 3.45, 2739.39103792
6507.55445217, 2901.60888078, 3.44, 2735.22189911
6480.22309362, 2887.27574678, 3.43, 2731.04922461
6452.93347958, 2872.97217128, 3.42, 2726.87299733
6425.68564565, 2858.69816654, 3.41, 2722.69320005
6398.4796276, 2844.45374489, 3.4, 2718.50981544
6371.31546143, 2830.23891872, 3.39, 2714.322826
6344.19318324, 2816.05370046, 3.38, 2710.13221411
6317.11282936, 2801.89810264, 3.37, 2705.93796202
6290.07443626, 2787.77213782, 3.36, 2701.74005181
6263.07804065, 2773.67581864, 3.35, 2697.53846546
6236.12367935, 2759.60915778, 3.34, 2693.33318477
