# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
12554.7974305, 7566.16297384, 4.5, 4471.32453431
12510.118113, 7535.660235, 4.49, 4464.53860757
12465.506666, 7505.21515534, 4.48, 4457.75040655
12420.9631125, 7474.82774269, 4.47, 4450.95992285
12376.4874752, 7444.49800487, 4.46, 4444.167148
12332.0797772, 7414.22594976, 4.45, 4437.37207347
12287.7400415, 7384.01158527, 4.44, 4430.57469071
12243.4682911, 7353.85491929, 4.43, 4423.77499107
12199.2645494, 7323.75595981, 4.42, 4416.9729659
12155.1288397, 7293.7147148, 4.41, 4410.16860645
12111.0611852, 7263.7311923, 4.4, 4403.36190397
12067.0616095, 7233.80540034, 4.39, 4396.55284962
12023.1301361, 7203.93734699, 4.38, 4389.74143449
11979.2667887, 7174.12704038, 4.37, 4382.92764968
11935.4715911, 7144.37448865, 4.36, 4376.11148617
11891.744567, 7114.67969995, 4.35, 4369.29293493
11848.0857404, 7085.04268252, 4.34, 4362.47198685
11804.4951353, 7055.46344456, 4.33, 4355.64863277
11760.9727759, 7025.94199435, 4.32, 4348.82286347
11717.5186862, 6996.47834019, 4.31, 4341.99466969
11674.1328906, 6967.07249041, 4.3, 4335.16404209
11630.8154135, 6937.72445338, 4.29, 4328.33097131
11587.5662794, 6908.43423748, 4.28, 4321.49544787
11544.3855128, 6879.20185116, 4.27, 4314.65746229
11501.2731384, 6850.02730288, 4.26, 4307.81700501
11458.229181, 6820.91060111, 4.25, 4300.97406638
11415.2536655, 6791.8517544, 4.24, 4294.12863676
11372.3466167, 6762.85077131, 4.23, 4287.28070638
11329.5080597, 6733.90766044, 4.22, 4280.43026544
11286.7380198, 6705.02243042, 4.21, 4273.5773041
11244.0365221, 6676.19508989, 4.2, 4266.72181239
11201.4035921, 6647.42564759, 4.19, 4259.86378035
11158.8392551, 6618.71411222, 4.18, 4253.00319792
11116.3435367, 6590.06049257, 4.17, 4246.14005498
11073.9164626, 6561.46479744, 4.16, 4239.27434136
11031.5580585, 6532.92703566, 4.15, 4232.40604679
10989.2683503, 6504.44721611, 4.14, 4225.53516098
10947.047364, 6476.02534771, 4.13, 4218.66167354
10904.8951256, 6447.6614394, 4.12, 4211.78557403
10862.8116613, 6419.35550016, 4.11, 4204.90685195
10820.7969974, 6391.10753901, 4.1, 4198.02549669
10778.8511603, 6362.91756501, 4.09, 4191.14149762
10736.9741764, 6334.78558726, 4.08, 4184.25484402
10695.1660723, 6306.71161489, 4.07, 4177.36552511
10653.4268748, 6278.69565705, 4.06, 4170.47353002
10611.7566107, 6250.73772297, 4.05, 4163.57884782
10570.1553069, 6222.83782189, 4.04, 4156.68146753
10528.6229904, 6194.99596307, 4.03, 4149.78137804
10487.1596885, 6167.21215587, 4.02, 4142.87856824
10445.7654282, 6139.48640962, 4.01, 4135.97302689
10404.4402371, 6111.81873374, 4.0, 4129.06474272
10363.1841426, 6084.20913766, 3.99, 4122.15370433
10321.9971723, 6056.65763084, 3.98, 4115.23990029
10280.8793539, 6029.16422284, 3.97, 4108.32331908
10239.8307153, 6001.72892317, 3.96, 4101.4039491
10198.8512843, 5974.35174147, 3.95, 4094.48177869
10157.9410891, 5947.03268735, 3.94, 4087.55679606
10117.1001579, 5919.77177051, 3.93, 4080.62898941
10076.3285188, 5892.56900065, 3.92, 4073.69834681
10035.6262005, 5865.42438756, 3.91, 4066.76485627
9994.99323132, 5838.33794103, 3.9, 4059.82850573
9954.42963999, 5811.3096709, 3.89, 4052.88928301
9913.9354553, 5784.33958707, 3.88, 4045.94717587
9873.51070619, 5757.42769948, 3.87, 4039.00217201
9833.15542162, 5730.57401808, 3.86, 4032.05425899
9792.8696308, 5703.77855292, 3.85, 4025.10342434
9752.65336299, 5677.04131403, 3.84, 4018.14965547
9712.50664757, 5650.36231153, 3.83, 4011.19293971
9672.42951411, 5623.74155557, 3.82, 4004.23326431
9632.42199225, 5597.17905634, 3.81, 3997.27061643
9592.48411178, 5570.67482409, 3.8, 3990.30498312
9552.61590264, 5544.22886909, 3.79, 3983.33635138
9512.81739484, 5517.84120167, 3.78, 3976.36470807
9473.08861862, 5491.51183222, 3.77, 3969.39004001
9433.42960424, 5465.24077115, 3.76, 3962.41233388
9393.84038217, 5439.02802893, 3.75, 3955.43157629
9354.32098298, 5412.87361607, 3.74, 3948.44775376
9314.87143744, 5386.77754315, 3.73, 3941.4608527
9275.49177631, 5360.73982074, 3.72, 3934.47085942
9236.18203065, 5334.76045953, 3.71, 3927.47776016
9196.94223156, 5308.83947022, 3.7, 3920.48154102
9157.77241033, 5282.97686355, 3.69, 3913.48218804
9118.67259837, 5257.17265034, 3.68, 3906.47968715
9079.64282719, 5231.42684142, 3.67, 3899.47402414
9040.6831285, 5205.7394477, 3.66, 3892.46518475
9001.79353419, 5180.11048014, 3.65, 3885.45315461
8962.97407619, 5154.53994973, 3.64, 3878.43791921
8924.2247866, 5129.02786751, 3.63, 3871.41946394
8885.54569775, 5103.57424461, 3.62, 3864.39777413
8846.93684202, 5078.17909216, 3.61, 3857.37283495
8808.398252, 5052.84242137, 3.6, 3850.34463149
8769.92996037, 5027.5642435, 3.59, 3843.31314871
8731.53200007, 5002.34456986, 3.58, 3836.27837149
8693.20440405, 4977.18341181, 3.57, 3829.24028456
8654.94720553, 4952.08078078, 3.56, 3822.19887256
8616.7604378, 4927.03668821, 3.55, 3815.15412
8578.64413437, 4902.05114565, 3.54, 3808.10601131
8540.59832887, 4877.12416466, 3.53, 3801.05453075
8502.62305511, 4852.25575689, 3.52, 3793.9996625
8464.71834704, 4827.44593401, 3.51, 3786.94139061
8426.88423877, 4802.69470778, 3.5, 3779.87969901
8389.12076458, 4778.00208999, 3.49, 3772.81457151
8351.42795892, 4753.3680925, 3.48, 3765.74599179
8313.80585638, 4728.79272722, 3.47, 3758.6739434
8276.25449174, 4704.27600613, 3.46, 3751.59840979
8238.77389993, 4679.81794125, 3.45, 3744.51937426
8201.36411606, 4655.41854468, 3.44, 3737.43681998
8164.02517539, 4631.07782855, 3.43, 3730.35073001
8126.75711337, 4606.79580507, 3.42, 3723.26108726
8089.55996562, 4582.57248651, 3.41, 3716.16787452
8052.4337679, 4558.40788519, 3.4, 3709.07107444
8015.37855622, 4534.30201351, 3.39, 3701.97066953
7978.39436667, 4510.25488389, 3.38, 3694.86664218
7941.48123559, 4486.26650887, 3.37, 3687.75897462
7904.63919945, 4462.336901, 3.36, 3680.64764894
7867.86829494, 4438.46607292, 3.35, 3673.53264712
7831.1685589, 4414.65403733, 3.34, 3666.41395097
7794.54002836, 4390.90080699, 3.33, 3659.29154215
7757.98274058, 4367.20639472, 3.32, 3652.1654022
7721.4967329, 4343.5708134, 3.31, 3645.03551248
7685.08204295, 4319.99407601, 3.3, 3637.90185423
7648.73870854, 4296.47619555, 3.29, 3630.76440854
7612.46676756, 4273.01718511, 3.28, 3623.6231563
7576.26625823, 4249.61705785, 3.27, 3616.47807831
7540.13721888, 4226.27582698, 3.26, 3609.32915517
7504.07968808, 4202.9935058, 3.25, 3602.17636735
7468.09370457, 4179.77010766, 3.24, 3595.01969513
7432.17930727, 4156.60564598, 3.23, 3587.85911865
7396.33653536, 4133.50013427, 3.22, 3580.6946179
7360.56542815, 4110.45358609, 3.21, 3573.52617266
7324.8660252, 4087.46601507, 3.2, 3566.35376258
7289.23836628, 4064.53743492, 3.19, 3559.17736715
7253.68249131, 4041.66785942, 3.18, 3551.99696564
7218.19844047, 4018.85730243, 3.17, 3544.81253719
7182.78625415, 3996.10577786, 3.16, 3537.62406076
7147.44597291, 3973.41329972, 3.15, 3530.43151512
7112.17763756, 3950.77988208, 3.14, 3523.23487887
7076.98128913, 3928.2055391, 3.13, 3516.03413042
7041.85696883, 3905.69028498, 3.12, 3508.82924801
7006.8047181, 3883.23413404, 3.11, 3501.62020969
6971.82457865, 3860.83710065, 3.1, 3494.40699332
6936.91659234, 3838.49919926, 3.09, 3487.18957657
6902.08080129, 3816.22044442, 3.08, 3479.96793692
6867.31724785, 3794.00085073, 3.07, 3472.74205165
6832.62597458, 3771.84043287, 3.06, 3465.51189786
6798.00702429, 3749.73920564, 3.05, 3458.27745244
6763.46044001, 3727.69718387, 3.04, 3451.03869207
6728.986265, 3705.71438251, 3.03, 3443.79559324
6694.58454278, 3683.79081658, 3.02, 3436.54813224
6660.25531708, 3661.92650116, 3.01, 3429.29628513
6625.99863187, 3640.12145145, 3.0, 3422.04002777
6591.8145314, 3618.37568273, 2.99, 3414.77933583
6557.70306013, 3596.68921033, 2.98, 3407.51418472
6523.66426275, 3575.06204971, 2.97, 3400.24454965
6489.69818427, 3553.4942164, 2.96, 3392.97040563
6455.80486985, 3531.985726, 2.95, 3385.69172741
6421.98436501, 3510.53659423, 2.94, 3378.40848954
6388.23671545, 3489.14683687, 2.93, 3371.12066632
6354.56196716, 3467.81646982, 2.92, 3363.82823184
6320.96016637, 3446.54550905, 2.91, 3356.53115994
6287.43135962, 3425.33397063, 2.9, 3349.22942422
6253.97559364, 3404.18187071, 2.89, 3341.92299805
6220.59291549, 3383.08922556, 2.88, 3334.61185453
6187.28337247, 3362.05605151, 2.87, 3327.29596654
6154.04701217, 3341.08236502, 2.86, 3319.97530671
6120.88388245, 3320.16818262, 2.85, 3312.64984739
6087.79403142, 3299.31352095, 2.84, 3305.31956069
6054.77750753, 3278.51839674, 2.83, 3297.98441847
6021.83435945, 3257.78282684, 2.82, 3290.6443923
5988.96463617, 3237.10682817, 2.81, 3283.2994535
5956.16838696, 3216.49041777, 2.8, 3275.94957312
5923.44566139, 3195.93361278, 2.79, 3268.59472192
5890.79650931, 3175.43643043, 2.78, 3261.23487041
5858.22098087, 3154.99888807, 2.77, 3253.86998879
