# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
22004.2635457, 16995.629089, 4.5, 8666.64280772
21917.6776601, 16923.2197821, 4.49, 8650.53395149
21831.2528743, 16850.9613637, 4.48, 8634.42282098
21744.9892113, 16778.8538415, 4.47, 8618.30940778
21658.8866938, 16706.8972235, 4.46, 8602.19370344
21572.9453449, 16635.0915175, 4.45, 8586.07569941
21487.1651876, 16563.4367314, 4.44, 8569.95538715
21401.5462449, 16491.9328731, 4.43, 8553.83275802
21316.0885402, 16420.5799506, 4.42, 8537.70780334
21230.7920967, 16349.3779718, 4.41, 8521.5805144
21145.6569378, 16278.3269449, 4.4, 8505.45088242
21060.6830869, 16207.4268778, 4.39, 8489.31889857
20975.8705677, 16136.6777786, 4.38, 8473.18455395
20891.2194038, 16066.0796555, 4.37, 8457.04783964
20806.7296189, 15995.6325165, 4.36, 8440.90874664
20722.4012368, 15925.3363698, 4.35, 8424.7672659
20638.2342816, 15855.1912237, 4.34, 8408.62338832
20554.2287772, 15785.1970864, 4.33, 8392.47710475
20470.3847476, 15715.3539661, 4.32, 8376.32840596
20386.7022172, 15645.6618712, 4.31, 8360.17728268
20303.1812101, 15576.1208099, 4.3, 8344.02372558
20219.8217508, 15506.7307907, 4.29, 8327.86772529
20136.6238638, 15437.4918219, 4.28, 8311.70927236
20053.5875736, 15368.403912, 4.27, 8295.54835729
19970.712905, 15299.4670694, 4.26, 8279.38497051
19887.9998825, 15230.6813026, 4.25, 8263.21910239
19805.4485313, 15162.0466202, 4.24, 8247.05074327
19723.0588761, 15093.5630307, 4.23, 8230.8798834
19640.830942, 15025.2305427, 4.22, 8214.70651296
19558.7647542, 14957.0491648, 4.21, 8198.53062211
19476.860338, 14889.0189058, 4.2, 8182.35220091
19395.1177187, 14821.1397742, 4.19, 8166.17123937
19313.5369218, 14753.4117789, 4.18, 8149.98772745
19232.1179728, 14685.8349286, 4.17, 8133.80165502
19150.8608973, 14618.4092322, 4.16, 8117.6130119
19069.7657212, 14551.1346983, 4.15, 8101.42178783
18988.8324702, 14484.011336, 4.14, 8085.22797252
18908.0611704, 14417.0391541, 4.13, 8069.03155559
18827.4518479, 14350.2181616, 4.12, 8052.83252658
18747.0045287, 14283.5483675, 4.11, 8036.630875
18666.7192392, 14217.0297808, 4.1, 8020.42659025
18586.5960058, 14150.6624105, 4.09, 8004.21966169
18506.6348549, 14084.4462658, 4.08, 7988.01007859
18426.8358131, 14018.3813557, 4.07, 7971.79783018
18347.1989072, 13952.4676895, 4.06, 7955.58290559
18267.724164, 13886.7052763, 4.05, 7939.3652939
18188.4116104, 13821.0941254, 4.04, 7923.1449841
18109.2612734, 13755.634246, 4.03, 7906.92196512
18030.2731802, 13690.3256476, 4.02, 7890.69622583
17951.447358, 13625.1683394, 4.01, 7874.46775499
17872.7838343, 13560.1623309, 4.0, 7858.23654131
17794.2826365, 13495.3076315, 3.99, 7842.00257343
17715.9437921, 13430.6042507, 3.98, 7825.76583989
17637.767329, 13366.0521979, 3.97, 7809.52632919
17559.7532749, 13301.6514828, 3.96, 7793.28402971
17481.9016578, 13237.4021149, 3.95, 7777.0389298
17404.2125057, 13173.3041039, 3.94, 7760.79101768
17326.6858469, 13109.3574595, 3.93, 7744.54028153
17249.3217096, 13045.5621914, 3.92, 7728.28670943
17172.1201222, 12981.9183093, 3.91, 7712.0302894
17095.0811134, 12918.4258231, 3.9, 7695.77100936
17018.2047117, 12855.0847426, 3.89, 7679.50885714
16941.4909459, 12791.8950777, 3.88, 7663.24382051
16864.939845, 12728.8568383, 3.87, 7646.97588715
16788.5514379, 12665.9700344, 3.86, 7630.70504463
16712.3257539, 12603.234676, 3.85, 7614.43128049
16636.2628221, 12540.6507732, 3.84, 7598.15458212
16560.3626721, 12478.2183361, 3.83, 7581.87493687
16484.6253333, 12415.9373748, 3.82, 7565.59233197
16409.0508354, 12353.8078995, 3.81, 7549.30675458
16333.6392082, 12291.8299205, 3.8, 7533.01819178
16258.3904816, 12230.0034481, 3.79, 7516.72663054
16183.3046857, 12168.3284926, 3.78, 7500.43205775
16108.3818506, 12106.8050642, 3.77, 7484.13446018
16033.6220067, 12045.4331736, 3.76, 7467.83382456
15959.0251844, 11984.2128311, 3.75, 7451.53013747
15884.5914142, 11923.1440473, 3.74, 7435.22338544
15810.320727, 11862.2268327, 3.73, 7418.91355489
15736.2131535, 11801.4611979, 3.72, 7402.60063211
15662.2687248, 11740.8471537, 3.71, 7386.28460335
15588.4874719, 11680.3847106, 3.7, 7369.96545471
15514.8694262, 11620.0738794, 3.69, 7353.64317225
15441.414619, 11559.914671, 3.68, 7337.31774185
15368.1230819, 11499.9070962, 3.67, 7320.98914935
15294.9948467, 11440.0511659, 3.66, 7304.65738047
15222.029945, 11380.346891, 3.65, 7288.32242083
15149.228409, 11320.7942826, 3.64, 7271.98425592
15076.5902707, 11261.3933516, 3.63, 7255.64287117
15004.1155624, 11202.1441093, 3.62, 7239.29825186
14931.8043166, 11143.0465667, 3.61, 7222.95038318
14859.6565657, 11084.1007351, 3.6, 7206.59925022
14787.6723426, 11025.3066257, 3.59, 7190.24483795
14715.85168, 10966.6642498, 3.58, 7173.88713123
14644.194611, 10908.1736188, 3.57, 7157.5261148
14572.7011689, 10849.8347441, 3.56, 7141.1617733
14501.3713868, 10791.6476372, 3.55, 7124.79409126
14430.2052983, 10733.6123096, 3.54, 7108.42305306
14359.202937, 10675.7287728, 3.53, 7092.048643
14288.3643368, 10617.9970385, 3.52, 7075.67084526
14217.6895315, 10560.4171185, 3.51, 7059.28964388
14147.1785554, 10502.9890244, 3.5, 7042.90502278
14076.8314426, 10445.712768, 3.49, 7026.51696579
14006.6482276, 10388.5883612, 3.48, 7010.12545656
13936.6289451, 10331.6158159, 3.47, 6993.73047868
13866.7736297, 10274.7951441, 3.46, 6977.33201557
13797.0823165, 10218.1263579, 3.45, 6960.93005054
13727.5550405, 10161.6094692, 3.44, 6944.52456677
13658.1918371, 10105.2444902, 3.43, 6928.11554731
13588.9927415, 10049.0314332, 3.42, 6911.70297506
13519.9577895, 9992.97031041, 3.41, 6895.28683283
13451.0870169, 9937.06113416, 3.4, 6878.86710324
13382.3804595, 9881.30391683, 3.39, 6862.44376884
13313.8381537, 9825.69867088, 3.38, 6846.01681199
13245.4601355, 9770.2454088, 3.37, 6829.58621493
13177.2464416, 9714.94414317, 3.36, 6813.15195976
13109.1971086, 9659.79488664, 3.35, 6796.71402844
13041.3121734, 9604.79765188, 3.34, 6780.27240279
12973.591673, 9549.95245166, 3.33, 6763.82706448
12906.0356447, 9495.25929882, 3.32, 6747.37799503
12838.6441257, 9440.71820623, 3.31, 6730.92517581
12771.4171538, 9386.32918684, 3.3, 6714.46858807
12704.3547667, 9332.0922537, 3.29, 6698.00821288
12637.4570023, 9278.00741986, 3.28, 6681.54403115
12570.7238989, 9224.0746985, 3.27, 6665.07602366
12504.1554947, 9170.29410283, 3.26, 6648.60417103
12437.7518284, 9116.66564613, 3.25, 6632.12845371
12371.5129387, 9063.18934178, 3.24, 6615.64885199
12305.4388645, 9009.86520318, 3.23, 6599.16534602
12239.5296449, 8956.69324384, 3.22, 6582.67791577
12173.7853194, 8903.67347733, 3.21, 6566.18654103
12108.2059274, 8850.80591727, 3.2, 6549.69120146
12042.7915087, 8798.09057738, 3.19, 6533.19187653
11977.5421033, 8745.52747144, 3.18, 6516.68854552
11912.4577513, 8693.11661329, 3.17, 6500.18118758
11847.5384932, 8640.85801687, 3.16, 6483.66978165
11782.7843693, 8588.75169617, 3.15, 6467.15430651
11718.1954207, 8536.79766526, 3.14, 6450.63474076
11653.7716883, 8484.9959383, 3.13, 6434.11106282
11589.5132134, 8433.34652951, 3.12, 6417.58325092
11525.4200373, 8381.84945319, 3.11, 6401.0512831
11461.4922017, 8330.50472371, 3.1, 6384.51513723
11397.7297486, 8279.31235553, 3.09, 6367.97479098
11334.1327201, 8228.27236319, 3.08, 6351.43022183
11270.7011584, 8177.3847613, 3.07, 6334.88140708
11207.4351062, 8126.64956453, 3.06, 6318.32832378
11144.3346063, 8076.06678769, 3.05, 6301.77094886
11081.3997017, 8025.63644561, 3.04, 6285.209259
