# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
21994.2635457, 17005.629089, 4.5, 8666.64280772
21907.6776601, 16933.2197821, 4.49, 8650.53395149
21821.2528743, 16860.9613637, 4.48, 8634.42282098
21734.9892113, 16788.8538415, 4.47, 8618.30940778
21648.8866938, 16716.8972235, 4.46, 8602.19370344
21562.9453449, 16645.0915175, 4.45, 8586.07569941
21477.1651876, 16573.4367314, 4.44, 8569.95538715
21391.5462449, 16501.9328731, 4.43, 8553.83275802
21306.0885402, 16430.5799506, 4.42, 8537.70780334
21220.7920967, 16359.3779718, 4.41, 8521.5805144
21135.6569378, 16288.3269449, 4.4, 8505.45088242
21050.6830869, 16217.4268778, 4.39, 8489.31889857
20965.8705677, 16146.6777786, 4.38, 8473.18455395
20881.2194038, 16076.0796555, 4.37, 8457.04783964
20796.7296189, 16005.6325165, 4.36, 8440.90874664
20712.4012368, 15935.3363698, 4.35, 8424.7672659
20628.2342816, 15865.1912237, 4.34, 8408.62338832
20544.2287772, 15795.1970864, 4.33, 8392.47710475
20460.3847476, 15725.3539661, 4.32, 8376.32840596
20376.7022172, 15655.6618712, 4.31, 8360.17728268
20293.1812101, 15586.1208099, 4.3, 8344.02372558
20209.8217508, 15516.7307907, 4.29, 8327.86772529
20126.6238638, 15447.4918219, 4.28, 8311.70927236
20043.5875736, 15378.403912, 4.27, 8295.54835729
19960.712905, 15309.4670694, 4.26, 8279.38497051
19877.9998825, 15240.6813026, 4.25, 8263.21910239
19795.4485313, 15172.0466202, 4.24, 8247.05074327
19713.0588761, 15103.5630307, 4.23, 8230.8798834
19630.830942, 15035.2305427, 4.22, 8214.70651296
19548.7647542, 14967.0491648, 4.21, 8198.53062211
19466.860338, 14899.0189058, 4.2, 8182.35220091
19385.1177187, 14831.1397742, 4.19, 8166.17123937
19303.5369218, 14763.4117789, 4.18, 8149.98772745
19222.1179728, 14695.8349286, 4.17, 8133.80165502
19140.8608973, 14628.4092322, 4.16, 8117.6130119
19059.7657212, 14561.1346983, 4.15, 8101.42178783
18978.8324702, 14494.011336, 4.14, 8085.22797252
18898.0611704, 14427.0391541, 4.13, 8069.03155559
18817.4518479, 14360.2181616, 4.12, 8052.83252658
18737.0045287, 14293.5483675, 4.11, 8036.630875
18656.7192392, 14227.0297808, 4.1, 8020.42659025
18576.5960058, 14160.6624105, 4.09, 8004.21966169
18496.6348549, 14094.4462658, 4.08, 7988.01007859
18416.8358131, 14028.3813557, 4.07, 7971.79783018
18337.1989072, 13962.4676895, 4.06, 7955.58290559
18257.724164, 13896.7052763, 4.05, 7939.3652939
18178.4116104, 13831.0941254, 4.04, 7923.1449841
18099.2612734, 13765.634246, 4.03, 7906.92196512
18020.2731802, 13700.3256476, 4.02, 7890.69622583
17941.447358, 13635.1683394, 4.01, 7874.46775499
17862.7838343, 13570.1623309, 4.0, 7858.23654131
17784.2826365, 13505.3076315, 3.99, 7842.00257343
17705.9437921, 13440.6042507, 3.98, 7825.76583989
17627.767329, 13376.0521979, 3.97, 7809.52632919
17549.7532749, 13311.6514828, 3.96, 7793.28402971
17471.9016578, 13247.4021149, 3.95, 7777.0389298
17394.2125057, 13183.3041039, 3.94, 7760.79101768
17316.6858469, 13119.3574595, 3.93, 7744.54028153
17239.3217096, 13055.5621914, 3.92, 7728.28670943
17162.1201222, 12991.9183093, 3.91, 7712.0302894
17085.0811134, 12928.4258231, 3.9, 7695.77100936
17008.2047117, 12865.0847426, 3.89, 7679.50885714
16931.4909459, 12801.8950777, 3.88, 7663.24382051
16854.939845, 12738.8568383, 3.87, 7646.97588715
16778.5514379, 12675.9700344, 3.86, 7630.70504463
16702.3257539, 12613.234676, 3.85, 7614.43128049
16626.2628221, 12550.6507732, 3.84, 7598.15458212
16550.3626721, 12488.2183361, 3.83, 7581.87493687
16474.6253333, 12425.9373748, 3.82, 7565.59233197
16399.0508354, 12363.8078995, 3.81, 7549.30675458
16323.6392082, 12301.8299205, 3.8, 7533.01819178
16248.3904816, 12240.0034481, 3.79, 7516.72663054
16173.3046857, 12178.3284926, 3.78, 7500.43205775
16098.3818506, 12116.8050642, 3.77, 7484.13446018
16023.6220067, 12055.4331736, 3.76, 7467.83382456
15949.0251844, 11994.2128311, 3.75, 7451.53013747
15874.5914142, 11933.1440473, 3.74, 7435.22338544
15800.320727, 11872.2268327, 3.73, 7418.91355489
15726.2131535, 11811.4611979, 3.72, 7402.60063211
15652.2687248, 11750.8471537, 3.71, 7386.28460335
15578.4874719, 11690.3847106, 3.7, 7369.96545471
15504.8694262, 11630.0738794, 3.69, 7353.64317225
15431.414619, 11569.914671, 3.68, 7337.31774185
15358.1230819, 11509.9070962, 3.67, 7320.98914935
15284.9948467, 11450.0511659, 3.66, 7304.65738047
15212.029945, 11390.346891, 3.65, 7288.32242083
15139.228409, 11330.7942826, 3.64, 7271.98425592
15066.5902707, 11271.3933516, 3.63, 7255.64287117
14994.1155624, 11212.1441093, 3.62, 7239.29825186
14921.8043166, 11153.0465667, 3.61, 7222.95038318
14849.6565657, 11094.1007351, 3.6, 7206.59925022
14777.6723426, 11035.3066257, 3.59, 7190.24483795
14705.85168, 10976.6642498, 3.58, 7173.88713123
14634.194611, 10918.1736188, 3.57, 7157.5261148
14562.7011689, 10859.8347441, 3.56, 7141.1617733
14491.3713868, 10801.6476372, 3.55, 7124.79409126
14420.2052983, 10743.6123096, 3.54, 7108.42305306
14349.202937, 10685.7287728, 3.53, 7092.048643
14278.3643368, 10627.9970385, 3.52, 7075.67084526
14207.6895315, 10570.4171185, 3.51, 7059.28964388
14137.1785554, 10512.9890244, 3.5, 7042.90502278
14066.8314426, 10455.712768, 3.49, 7026.51696579
13996.6482276, 10398.5883612, 3.48, 7010.12545656
13926.6289451, 10341.6158159, 3.47, 6993.73047868
13856.7736297, 10284.7951441, 3.46, 6977.33201557
13787.0823165, 10228.1263579, 3.45, 6960.93005054
13717.5550405, 10171.6094692, 3.44, 6944.52456677
13648.1918371, 10115.2444902, 3.43, 6928.11554731
13578.9927415, 10059.0314332, 3.42, 6911.70297506
13509.9577895, 10002.9703104, 3.41, 6895.28683283
13441.0870169, 9947.06113416, 3.4, 6878.86710324
13372.3804595, 9891.30391683, 3.39, 6862.44376884
13303.8381537, 9835.69867088, 3.38, 6846.01681199
13235.4601355, 9780.2454088, 3.37, 6829.58621493
13167.2464416, 9724.94414317, 3.36, 6813.15195976
13099.1971086, 9669.79488664, 3.35, 6796.71402844
13031.3121734, 9614.79765188, 3.34, 6780.27240279
12963.591673, 9559.95245166, 3.33, 6763.82706448
12896.0356447, 9505.25929882, 3.32, 6747.37799503
12828.6441257, 9450.71820623, 3.31, 6730.92517581
12761.4171538, 9396.32918684, 3.3, 6714.46858807
12694.3547667, 9342.0922537, 3.29, 6698.00821288
12627.4570023, 9288.00741986, 3.28, 6681.54403115
12560.7238989, 9234.0746985, 3.27, 6665.07602366
12494.1554947, 9180.29410283, 3.26, 6648.60417103
12427.7518284, 9126.66564613, 3.25, 6632.12845371
12361.5129387, 9073.18934178, 3.24, 6615.64885199
12295.4388645, 9019.86520318, 3.23, 6599.16534602
12229.5296449, 8966.69324384, 3.22, 6582.67791577
12163.7853194, 8913.67347733, 3.21, 6566.18654103
12098.2059274, 8860.80591727, 3.2, 6549.69120146
12032.7915087, 8808.09057738, 3.19, 6533.19187653
11967.5421033, 8755.52747144, 3.18, 6516.68854552
11902.4577513, 8703.11661329, 3.17, 6500.18118758
11837.5384932, 8650.85801687, 3.16, 6483.66978165
11772.7843693, 8598.75169617, 3.15, 6467.15430651
11708.1954207, 8546.79766526, 3.14, 6450.63474076
11643.7716883, 8494.9959383, 3.13, 6434.11106282
11579.5132134, 8443.34652951, 3.12, 6417.58325092
11515.4200373, 8391.84945319, 3.11, 6401.0512831
11451.4922017, 8340.50472371, 3.1, 6384.51513723
11387.7297486, 8289.31235553, 3.09, 6367.97479098
11324.1327201, 8238.27236319, 3.08, 6351.43022183
11260.7011584, 8187.3847613, 3.07, 6334.88140708
11197.4351062, 8136.64956453, 3.06, 6318.32832378
11134.3346063, 8086.06678769, 3.05, 6301.77094886
11071.3997017, 8035.63644561, 3.04, 6285.209259
11008.6304357, 7985.35855323, 3.03, 6268.64323068
10946.0268518, 7935.23312556, 3.02, 6252.07284017
