# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
16684.5638559, 11695.9293992, 4.5, 6306.77627893
16621.5504148, 11647.0925369, 4.49, 6295.91157053
16558.6456321, 11598.3541215, 4.48, 6285.04458786
16495.8495307, 11549.7141609, 4.47, 6274.17532251
16433.1621334, 11501.172663, 4.46, 6263.30376601
16370.5834631, 11452.7296356, 4.45, 6252.42990982
16308.1135429, 11404.3850867, 4.44, 6241.55374541
16245.7523959, 11356.1390241, 4.43, 6230.67526411
16183.5000454, 11307.9914558, 4.42, 6219.79445728
16121.3565146, 11259.9423898, 4.41, 6208.91131618
16059.3218269, 11211.9918341, 4.4, 6198.02583204
15997.3960059, 11164.1397967, 4.39, 6187.13799603
15935.5790749, 11116.3862858, 4.38, 6176.24779925
15873.8710578, 11068.7313095, 4.37, 6165.35523279
15812.2719782, 11021.1748758, 4.36, 6154.46028763
15750.78186, 10973.716993, 4.35, 6143.56295473
15689.4007272, 10926.3576693, 4.34, 6132.66322499
15628.1286036, 10879.0969129, 4.33, 6121.76108926
15566.9655135, 10831.934732, 4.32, 6110.85653831
15505.911481, 10784.871135, 4.31, 6099.94956287
15444.9665304, 10737.9061302, 4.3, 6089.04015362
15384.1306861, 10691.039726, 4.29, 6078.12830118
15323.4039726, 10644.2719307, 4.28, 6067.21399608
15262.7864144, 10597.6027528, 4.27, 6056.29722885
15202.2780363, 10551.0322007, 4.26, 6045.37798991
15141.8788629, 10504.560283, 4.25, 6034.45626964
15081.5889193, 10458.1870082, 4.24, 6023.53205836
15021.4082302, 10411.9123848, 4.23, 6012.60534632
14961.3368207, 10365.7364214, 4.22, 6001.67612373
14901.3747161, 10319.6591267, 4.21, 5990.74438073
14841.5219416, 10273.6805093, 4.2, 5979.81010737
14781.7785225, 10227.800578, 4.19, 5968.87329368
14722.1444843, 10182.0193414, 4.18, 5957.93392959
14662.6198525, 10136.3368084, 4.17, 5946.99200499
14603.2046528, 10090.7529876, 4.16, 5936.04750972
14543.8989109, 10045.2678881, 4.15, 5925.1004335
14484.7026528, 9999.88151857, 4.14, 5914.15076603
14425.6159043, 9954.59388802, 4.13, 5903.19849694
14366.6386916, 9909.40500538, 4.12, 5892.24361578
14307.7710408, 9864.31487964, 4.11, 5881.28611203
14249.0129782, 9819.3235198, 4.1, 5870.32597512
14190.3645302, 9774.43093492, 4.09, 5859.3631944
14131.8257232, 9729.63713411, 4.08, 5848.39775915
14073.3965839, 9684.94212649, 4.07, 5837.42965858
14015.077139, 9640.34592123, 4.06, 5826.45888183
13956.8674153, 9595.84852754, 4.05, 5815.48541798
13898.7674397, 9551.44995466, 4.04, 5804.50925603
13840.7772392, 9507.15021188, 4.03, 5793.53038489
13782.8968411, 9462.94930851, 4.02, 5782.54879344
13725.1262725, 9418.84725392, 4.01, 5771.56447043
13667.4655609, 9374.84405751, 4.0, 5760.5774046
13609.9147337, 9330.93972872, 3.99, 5749.58758456
13552.4738185, 9287.13427701, 3.98, 5738.59499886
13495.142843, 9243.42771192, 3.97, 5727.599636
13437.9218351, 9199.820043, 3.96, 5716.60148437
13380.8108227, 9156.31127986, 3.95, 5705.6005323
13323.8098339, 9112.90143211, 3.94, 5694.59676802
13266.9188968, 9069.59050945, 3.93, 5683.59017971
13210.1380398, 9026.3785216, 3.92, 5672.58075545
13153.4672912, 8983.26547833, 3.91, 5661.56848327
13096.9066797, 8940.25138944, 3.9, 5650.55335107
13040.4562338, 8897.33626477, 3.89, 5639.53534669
12984.1159824, 8854.52011421, 3.88, 5628.5144579
12927.8859544, 8811.80294771, 3.87, 5617.49067238
12871.7661787, 8769.18477521, 3.86, 5606.46397771
12815.7566847, 8726.66560676, 3.85, 5595.43436141
12759.8575014, 8684.24545242, 3.84, 5584.40181088
12704.0686583, 8641.92432227, 3.83, 5573.36631347
12648.390185, 8599.70222648, 3.82, 5562.32785641
12592.8221111, 8557.57917524, 3.81, 5551.28642687
12537.3644665, 8515.55517879, 3.8, 5540.24201191
12482.017281, 8473.63024741, 3.79, 5529.19459851
12426.7805846, 8431.80439143, 3.78, 5518.14417355
12371.6544076, 8390.07762124, 3.77, 5507.09072384
12316.6387803, 8348.44994724, 3.76, 5496.03423605
12261.7337331, 8306.9213799, 3.75, 5484.97469681
12206.9392967, 8265.49192974, 3.74, 5473.91209262
12152.2555016, 8224.16160734, 3.73, 5462.84640991
12097.6823788, 8182.93042327, 3.72, 5451.77763498
12043.2199593, 8141.79838821, 3.71, 5440.70575405
11988.8682742, 8100.76551287, 3.7, 5429.63075326
11934.6273548, 8059.83180799, 3.69, 5418.55261863
11880.4972324, 8018.99728438, 3.68, 5407.47133608
11826.4779386, 7978.26195288, 3.67, 5396.38689142
11772.5695052, 7937.62582439, 3.66, 5385.29927038
11718.7719639, 7897.08890988, 3.65, 5374.20845858
11665.0853468, 7856.65122034, 3.64, 5363.11444152
11611.5096859, 7816.31276681, 3.63, 5352.0172046
11558.0450135, 7776.07356041, 3.62, 5340.91673314
11504.6913621, 7735.93361227, 3.61, 5329.8130123
11451.4487642, 7695.89293362, 3.6, 5318.70602719
11398.3172526, 7655.9515357, 3.59, 5307.59576275
11345.29686, 7616.10942984, 3.58, 5296.48220388
11292.3876196, 7576.36662737, 3.57, 5285.36533529
11239.5895645, 7536.72313973, 3.56, 5274.24514163
11186.902728, 7497.17897839, 3.55, 5263.12160743
11134.3271436, 7457.73415486, 3.54, 5251.99471707
11081.8628449, 7418.38868072, 3.53, 5240.86445486
11029.5098658, 7379.14256761, 3.52, 5229.73080496
10977.2682403, 7339.99582722, 3.51, 5218.59375142
10925.1380023, 7300.94847129, 3.5, 5207.45327816
10873.1191862, 7262.00051162, 3.49, 5196.309369
10821.2118265, 7223.15196006, 3.48, 5185.16200763
10769.4159577, 7184.40282854, 3.47, 5174.01117759
10717.7316146, 7145.75312901, 3.46, 5162.85686232
10666.1588322, 7107.20287351, 3.45, 5151.69904513
