# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
9604.96426953, 4616.32981285, 4.5, 3160.28757386
9573.3807545, 4598.92287653, 4.49, 3156.41506259
9541.83597591, 4581.54446524, 4.48, 3152.54027704
9510.32995659, 4564.19458681, 4.47, 3148.66320881
9478.86271941, 4546.87324906, 4.46, 3144.78384943
9447.43428729, 4529.58045985, 4.45, 3140.90219037
9416.04468335, 4512.31622711, 4.44, 3137.01822308
9384.69393059, 4495.08055873, 4.43, 3133.1319389
9353.38205234, 4477.8734627, 4.42, 3129.24332919
9322.10907183, 4460.69494698, 4.41, 3125.35238522
9290.87501248, 4443.54501961, 4.4, 3121.4590982
9259.67989777, 4426.42368863, 4.39, 3117.56345932
9228.52375119, 4409.33096211, 4.38, 3113.66545966
9197.4065965, 4392.26684817, 4.37, 3109.76509031
9166.32845737, 4375.23135495, 4.36, 3105.86234228
9135.28935765, 4358.22449062, 4.35, 3101.9572065
9104.28932128, 4341.24626339, 4.34, 3098.04967389
9073.32837225, 4324.29668148, 4.33, 3094.13973527
9042.40653468, 4307.37575318, 4.32, 3090.22738145
9011.52383275, 4290.48348676, 4.31, 3086.31260313
8980.68029076, 4273.61989056, 4.3, 3082.395391
8949.87593311, 4256.78497297, 4.29, 3078.47573568
8919.11078426, 4239.97874235, 4.28, 3074.55362771
8888.3848688, 4223.20120715, 4.27, 3070.6290576
8857.69821141, 4206.45237584, 4.26, 3066.70201579
8827.05083681, 4189.73225688, 4.25, 3062.77249263
8796.4427699, 4173.04085884, 4.24, 3058.84047848
8765.87403562, 4156.37819026, 4.23, 3054.90596356
8735.34465903, 4139.74425973, 4.22, 3050.9689381
8704.85466531, 4123.13907591, 4.21, 3047.02939221
8674.40407966, 4106.56264742, 4.2, 3043.08731597
8643.9929275, 4090.01498301, 4.19, 3039.1426994
8613.62123423, 4073.49609137, 4.18, 3035.19553244
8583.28902542, 4057.0059813, 4.17, 3031.24580497
8552.99632675, 4040.54466159, 4.16, 3027.29350681
8522.74316395, 4024.11214108, 4.15, 3023.33862772
8492.52956287, 4007.70842864, 4.14, 3019.38115737
8462.3555495, 3991.3335332, 4.13, 3015.4210854
8432.22114992, 3974.98746369, 4.12, 3011.45840136
8402.12639028, 3958.6702291, 4.11, 3007.49309474
8372.07129686, 3942.38183845, 4.1, 3003.52515495
8342.05589603, 3926.12230079, 4.09, 2999.55457135
8312.08021432, 3909.89162522, 4.08, 2995.58133322
8282.14427832, 3893.68982088, 4.07, 2991.60542978
8252.2481147, 3877.51689692, 4.06, 2987.62685015
8222.39175031, 3861.37286256, 4.05, 2983.64558342
8192.57521208, 3845.25772705, 4.04, 2979.6616186
8162.79852701, 3829.17149965, 4.03, 2975.67494458
8133.06172229, 3813.1141897, 4.02, 2971.68555025
8103.36482515, 3797.08580655, 4.01, 2967.69342437
8073.707863, 3781.08635962, 4.0, 2963.69855565
8044.09086329, 3765.11585833, 3.99, 2959.70093274
8014.5138536, 3749.17431215, 3.98, 2955.70054416
7984.97686172, 3733.26173063, 3.97, 2951.69737842
7955.47991539, 3717.3781233, 3.96, 2947.69142391
7926.02304264, 3701.52349977, 3.95, 2943.68266896
7896.60627145, 3685.69786967, 3.94, 2939.67110181
7867.22963005, 3669.90124269, 3.93, 2935.65671062
7837.89314672, 3654.13362855, 3.92, 2931.63948349
7808.59684992, 3638.39503701, 3.91, 2927.61940842
7779.34076817, 3622.68547789, 3.9, 2923.59647335
7750.12493008, 3607.004961, 3.89, 2919.57066609
7720.94936449, 3591.35349626, 3.88, 2915.54197442
7691.81410032, 3575.73109361, 3.87, 2911.51038603
7662.71916653, 3560.13776299, 3.86, 2907.47588848
7633.66459234, 3544.57351445, 3.85, 2903.4384693
7604.650407, 3529.03835804, 3.84, 2899.39811589
7575.6766399, 3513.53230386, 3.83, 2895.3548156
7546.7433206, 3498.05536206, 3.82, 2891.30855567
7517.85047875, 3482.60754284, 3.81, 2887.25932325
7488.99814414, 3467.18885644, 3.8, 2883.20710542
7460.18634669, 3451.79931314, 3.79, 2879.15188914
7431.41511644, 3436.43892327, 3.78, 2875.0936613
7402.68448361, 3421.10769721, 3.77, 2871.03240871
7373.99447847, 3405.80564538, 3.76, 2866.96811804
7345.34513147, 3390.53277824, 3.75, 2862.90077592
7316.73647321, 3375.2891063, 3.74, 2858.83036885
7288.16853444, 3360.07464015, 3.73, 2854.75688327
7259.64134593, 3344.88939037, 3.72, 2850.68030546
7231.15493873, 3329.73336762, 3.71, 2846.60062166
7202.70934395, 3314.60658261, 3.7, 2842.51781799
7174.30459287, 3299.5090461, 3.69, 2838.43188048
7145.94071691, 3284.44076888, 3.68, 2834.34279505
7117.61774758, 3269.40176181, 3.67, 2830.25054752
7089.33571658, 3254.39203577, 3.66, 2826.15512359
7061.0946558, 3239.41160175, 3.65, 2822.05650892
7032.89459718, 3224.46047072, 3.64, 2817.95468898
7004.73557281, 3209.53865372, 3.63, 2813.84964918
6976.61761503, 3194.64616189, 3.62, 2809.74137484
6948.54075622, 3179.78300636, 3.61, 2805.62985113
6920.50502896, 3164.94919833, 3.6, 2801.51506314
6892.51046594, 3150.14474906, 3.59, 2797.39699582
6864.55710009, 3135.36966988, 3.58, 2793.27563407
6836.64496437, 3120.62397213, 3.57, 2789.1509626
6808.77409199, 3105.90766723, 3.56, 2785.02296607
6780.94451624, 3091.22076666, 3.55, 2780.89162899
6753.15627065, 3076.56328193, 3.54, 2776.75693576
6725.40938883, 3061.93522462, 3.53, 2772.61887067
6697.70390459, 3047.33660637, 3.52, 2768.47741789
6670.03985189, 3032.76743886, 3.51, 2764.33256147
6642.41726483, 3018.22773384, 3.5, 2760.18428534
6614.8361777, 3003.71750311, 3.49, 2756.0325733
6587.29662494, 2989.23675853, 3.48, 2751.87740904
6559.79864116, 2974.785512, 3.47, 2747.71877613
6532.34226111, 2960.36377551, 3.46, 2743.55665798
6504.92751974, 2945.97156107, 3.45, 2739.39103792
6477.55445216, 2931.60888078, 3.44, 2735.22189911
6450.22309362, 2917.27574678, 3.43, 2731.0492246
6422.93347958, 2902.97217128, 3.42, 2726.87299733
6395.68564565, 2888.69816654, 3.41, 2722.69320005
6368.4796276, 2874.45374489, 3.4, 2718.50981544
6341.31546143, 2860.23891872, 3.39, 2714.322826
6314.19318324, 2846.05370046, 3.38, 2710.13221411
6287.11282936, 2831.89810264, 3.37, 2705.93796202
6260.07443627, 2817.77213782, 3.36, 2701.74005181
6233.07804065, 2803.67581864, 3.35, 2697.53846546
6206.12367935, 2789.60915778, 3.34, 2693.33318477
6179.2113894, 2775.57216802, 3.33, 2689.12419142
6152.34120805, 2761.56486219, 3.32, 2684.91146694
6125.51317264, 2747.58725315, 3.31, 2680.69499268
6098.72732081, 2733.63935387, 3.3, 2676.4747499
6071.98369037, 2719.72117738, 3.29, 2672.25071968
6045.2823192, 2705.83273675, 3.28, 2668.02288291
6018.62324552, 2691.97404515, 3.27, 2663.79122039
5992.00650768, 2678.14511578, 3.26, 2659.55571272
5965.43214423, 2664.34596195, 3.25, 2655.31634036
5938.90019391, 2650.576597, 3.24, 2651.07308361
