# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
9614.96426954, 4606.32981285, 4.5, 3160.28757386
9583.3807545, 4588.92287653, 4.49, 3156.41506259
9551.83597592, 4571.54446525, 4.48, 3152.54027705
9520.32995658, 4554.19458681, 4.47, 3148.66320881
9488.86271941, 4536.87324906, 4.46, 3144.78384943
9457.4342873, 4519.58045985, 4.45, 3140.90219037
9426.04468334, 4502.31622711, 4.44, 3137.01822307
9394.69393061, 4485.08055874, 4.43, 3133.1319389
9363.38205235, 4467.8734627, 4.42, 3129.2433292
9332.10907183, 4450.69494698, 4.41, 3125.35238522
9300.87501248, 4433.54501961, 4.4, 3121.4590982
9269.67989776, 4416.42368863, 4.39, 3117.56345932
9238.52375118, 4399.3309621, 4.38, 3113.66545966
9207.40659651, 4382.26684818, 4.37, 3109.76509032
9176.32845736, 4365.23135495, 4.36, 3105.86234227
9145.28935765, 4348.22449062, 4.35, 3101.9572065
9114.28932129, 4331.24626339, 4.34, 3098.04967389
9083.32837226, 4314.29668149, 4.33, 3094.13973528
9052.40653468, 4297.37575318, 4.32, 3090.22738145
9021.52383275, 4280.48348676, 4.31, 3086.31260313
8990.68029076, 4263.61989056, 4.3, 3082.395391
8959.8759331, 4246.78497296, 4.29, 3078.47573568
8929.11078425, 4229.97874235, 4.28, 3074.55362771
8898.3848688, 4213.20120715, 4.27, 3070.6290576
8867.69821141, 4196.45237584, 4.26, 3066.70201579
8837.05083681, 4179.73225689, 4.25, 3062.77249263
8806.44276989, 4163.04085884, 4.24, 3058.84047847
8775.87403563, 4146.37819026, 4.23, 3054.90596357
8745.34465903, 4129.74425973, 4.22, 3050.9689381
8714.85466531, 4113.1390759, 4.21, 3047.02939221
8684.40407967, 4096.56264743, 4.2, 3043.08731598
8653.99292749, 4080.014983, 4.19, 3039.1426994
8623.62123423, 4063.49609137, 4.18, 3035.19553244
8593.28902544, 4047.0059813, 4.17, 3031.24580497
8562.99632676, 4030.54466159, 4.16, 3027.29350681
8532.74316395, 4014.11214108, 4.15, 3023.33862772
8502.52956286, 3997.70842864, 4.14, 3019.38115737
8472.3555495, 3981.3335332, 4.13, 3015.4210854
8442.22114991, 3964.98746369, 4.12, 3011.45840136
8412.12639029, 3948.6702291, 4.11, 3007.49309474
8382.07129686, 3932.38183845, 4.1, 3003.52515495
8352.05589604, 3916.12230079, 4.09, 2999.55457135
8322.08021432, 3899.89162522, 4.08, 2995.58133322
8292.14427831, 3883.68982088, 4.07, 2991.60542978
8262.2481147, 3867.51689692, 4.06, 2987.62685015
8232.3917503, 3851.37286256, 4.05, 2983.64558342
8202.57521205, 3835.25772704, 4.04, 2979.66161859
8172.798527, 3819.17149964, 4.03, 2975.67494458
8143.0617223, 3803.1141897, 4.02, 2971.68555025
8113.36482516, 3787.08580655, 4.01, 2967.69342437
8083.707863, 3771.08635962, 4.0, 2963.69855565
8054.09086329, 3755.11585833, 3.99, 2959.70093274
8024.51385362, 3739.17431216, 3.98, 2955.70054416
7994.97686172, 3723.26173063, 3.97, 2951.69737843
7965.47991539, 3707.3781233, 3.96, 2947.69142391
7936.02304263, 3691.52349977, 3.95, 2943.68266896
7906.60627145, 3675.69786967, 3.94, 2939.67110181
7877.22963005, 3659.90124269, 3.93, 2935.65671062
7847.89314672, 3644.13362855, 3.92, 2931.63948349
7818.59684991, 3628.39503701, 3.91, 2927.61940842
7789.34076816, 3612.68547788, 3.9, 2923.59647334
7760.12493009, 3597.004961, 3.89, 2919.57066609
7730.9493645, 3581.35349626, 3.88, 2915.54197442
7701.81410032, 3565.73109361, 3.87, 2911.51038603
7672.71916653, 3550.13776299, 3.86, 2907.47588848
7643.66459234, 3534.57351445, 3.85, 2903.4384693
7614.65040699, 3519.03835804, 3.84, 2899.39811589
7585.6766399, 3503.53230386, 3.83, 2895.3548156
7556.7433206, 3488.05536206, 3.82, 2891.30855567
7527.85047874, 3472.60754284, 3.81, 2887.25932325
7498.99814412, 3457.18885644, 3.8, 2883.20710541
7470.18634668, 3441.79931314, 3.79, 2879.15188913
7441.41511645, 3426.43892327, 3.78, 2875.0936613
7412.68448359, 3411.10769721, 3.77, 2871.0324087
7383.99447845, 3395.80564538, 3.76, 2866.96811804
7355.34513147, 3380.53277824, 3.75, 2862.90077592
7326.7364732, 3365.2891063, 3.74, 2858.83036885
7298.16853443, 3350.07464015, 3.73, 2854.75688326
7269.64134592, 3334.88939036, 3.72, 2850.68030545
7241.15493872, 3319.73336762, 3.71, 2846.60062165
7212.70934394, 3304.60658261, 3.7, 2842.51781798
7184.30459288, 3289.5090461, 3.69, 2838.43188048
7155.94071691, 3274.44076888, 3.68, 2834.34279505
7127.61774758, 3259.40176181, 3.67, 2830.25054752
7099.33571658, 3244.39203577, 3.66, 2826.15512359
7071.0946558, 3229.41160175, 3.65, 2822.05650892
7042.89459717, 3214.46047071, 3.64, 2817.95468898
7014.73557281, 3199.53865373, 3.63, 2813.84964918
6986.61761503, 3184.64616189, 3.62, 2809.74137484
6958.54075621, 3169.78300635, 3.61, 2805.62985113
6930.50502895, 3154.94919833, 3.6, 2801.51506313
6902.51046595, 3140.14474907, 3.59, 2797.39699583
6874.55710008, 3125.36966988, 3.58, 2793.27563407
6846.64496437, 3110.62397213, 3.57, 2789.15096261
6818.77409198, 3095.90766723, 3.56, 2785.02296607
6790.94451625, 3081.22076666, 3.55, 2780.89162899
6763.15627065, 3066.56328192, 3.54, 2776.75693576
6735.40938883, 3051.93522462, 3.53, 2772.61887066
6707.70390459, 3037.33660636, 3.52, 2768.47741788
6680.0398519, 3022.76743886, 3.51, 2764.33256147
6652.41726483, 3008.22773384, 3.5, 2760.18428534
6624.83617772, 2993.71750312, 3.49, 2756.0325733
6597.29662494, 2979.23675853, 3.48, 2751.87740904
6569.79864116, 2964.785512, 3.47, 2747.71877613
6542.34226111, 2950.36377551, 3.46, 2743.55665798
6514.92751975, 2935.97156107, 3.45, 2739.39103792
6487.55445216, 2921.60888078, 3.44, 2735.22189911
6460.22309362, 2907.27574678, 3.43, 2731.04922461
6432.93347958, 2892.97217128, 3.42, 2726.87299733
6405.68564565, 2878.69816654, 3.41, 2722.69320006
6378.4796276, 2864.45374489, 3.4, 2718.50981544
6351.31546143, 2850.23891871, 3.39, 2714.322826
6324.19318324, 2836.05370046, 3.38, 2710.13221411
6297.11282935, 2821.89810264, 3.37, 2705.93796202
6270.07443626, 2807.77213782, 3.36, 2701.74005181
6243.07804065, 2793.67581863, 3.35, 2697.53846546
6216.12367935, 2779.60915778, 3.34, 2693.33318477
6189.2113894, 2765.57216802, 3.33, 2689.12419142
6162.34120804, 2751.56486218, 3.32, 2684.91146694
6135.51317264, 2737.58725315, 3.31, 2680.69499269
