# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
12584.7974305, 7536.16297384, 4.5, 4471.32453431
12540.118113, 7505.660235, 4.49, 4464.53860757
12495.506666, 7475.21515534, 4.48, 4457.75040655
12450.9631125, 7444.82774269, 4.47, 4450.95992285
12406.4874752, 7414.49800487, 4.46, 4444.167148
12362.0797772, 7384.22594976, 4.45, 4437.37207347
12317.7400415, 7354.01158527, 4.44, 4430.57469071
12273.4682911, 7323.85491929, 4.43, 4423.77499107
12229.2645494, 7293.75595981, 4.42, 4416.9729659
12185.1288397, 7263.7147148, 4.41, 4410.16860645
12141.0611852, 7233.7311923, 4.4, 4403.36190397
12097.0616095, 7203.80540034, 4.39, 4396.55284962
12053.1301361, 7173.93734699, 4.38, 4389.74143449
12009.2667887, 7144.12704038, 4.37, 4382.92764968
11965.4715911, 7114.37448865, 4.36, 4376.11148617
11921.744567, 7084.67969995, 4.35, 4369.29293493
11878.0857404, 7055.04268252, 4.34, 4362.47198685
11834.4951353, 7025.46344456, 4.33, 4355.64863277
11790.9727759, 6995.94199435, 4.32, 4348.82286347
11747.5186862, 6966.47834019, 4.31, 4341.99466969
11704.1328906, 6937.07249041, 4.3, 4335.16404209
11660.8154135, 6907.72445338, 4.29, 4328.33097131
11617.5662794, 6878.43423748, 4.28, 4321.49544787
11574.3855128, 6849.20185116, 4.27, 4314.65746229
11531.2731384, 6820.02730288, 4.26, 4307.81700501
11488.229181, 6790.91060111, 4.25, 4300.97406638
11445.2536655, 6761.8517544, 4.24, 4294.12863676
11402.3466167, 6732.85077131, 4.23, 4287.28070638
11359.5080597, 6703.90766044, 4.22, 4280.43026544
11316.7380198, 6675.02243042, 4.21, 4273.5773041
11274.0365221, 6646.19508989, 4.2, 4266.72181239
11231.4035921, 6617.42564759, 4.19, 4259.86378035
11188.8392551, 6588.71411222, 4.18, 4253.00319792
11146.3435367, 6560.06049257, 4.17, 4246.14005498
11103.9164626, 6531.46479744, 4.16, 4239.27434136
11061.5580585, 6502.92703566, 4.15, 4232.40604679
11019.2683503, 6474.44721611, 4.14, 4225.53516098
10977.047364, 6446.02534771, 4.13, 4218.66167354
10934.8951256, 6417.6614394, 4.12, 4211.78557403
10892.8116613, 6389.35550016, 4.11, 4204.90685195
10850.7969974, 6361.10753901, 4.1, 4198.02549669
10808.8511603, 6332.91756501, 4.09, 4191.14149762
10766.9741764, 6304.78558726, 4.08, 4184.25484402
10725.1660723, 6276.71161489, 4.07, 4177.36552511
10683.4268748, 6248.69565705, 4.06, 4170.47353002
10641.7566107, 6220.73772297, 4.05, 4163.57884782
10600.1553069, 6192.83782189, 4.04, 4156.68146753
10558.6229904, 6164.99596307, 4.03, 4149.78137804
10517.1596885, 6137.21215587, 4.02, 4142.87856824
10475.7654282, 6109.48640962, 4.01, 4135.97302689
10434.4402371, 6081.81873374, 4.0, 4129.06474272
10393.1841426, 6054.20913766, 3.99, 4122.15370433
10351.9971723, 6026.65763084, 3.98, 4115.23990029
10310.8793539, 5999.16422284, 3.97, 4108.32331908
10269.8307153, 5971.72892317, 3.96, 4101.4039491
10228.8512843, 5944.35174147, 3.95, 4094.48177869
10187.9410891, 5917.03268735, 3.94, 4087.55679606
10147.1001579, 5889.77177051, 3.93, 4080.62898941
10106.3285188, 5862.56900065, 3.92, 4073.69834681
10065.6262005, 5835.42438756, 3.91, 4066.76485627
10024.9932313, 5808.33794103, 3.9, 4059.82850573
9984.42963999, 5781.3096709, 3.89, 4052.88928301
9943.9354553, 5754.33958707, 3.88, 4045.94717587
9903.51070619, 5727.42769948, 3.87, 4039.00217201
9863.15542162, 5700.57401808, 3.86, 4032.05425899
9822.8696308, 5673.77855292, 3.85, 4025.10342434
9782.65336299, 5647.04131403, 3.84, 4018.14965547
9742.50664757, 5620.36231153, 3.83, 4011.19293971
9702.42951411, 5593.74155557, 3.82, 4004.23326431
9662.42199225, 5567.17905634, 3.81, 3997.27061643
9622.48411178, 5540.67482409, 3.8, 3990.30498312
9582.61590264, 5514.22886909, 3.79, 3983.33635138
9542.81739484, 5487.84120167, 3.78, 3976.36470807
9503.08861862, 5461.51183222, 3.77, 3969.39004001
9463.42960424, 5435.24077115, 3.76, 3962.41233388
9423.84038217, 5409.02802893, 3.75, 3955.43157629
9384.32098298, 5382.87361607, 3.74, 3948.44775376
9344.87143744, 5356.77754315, 3.73, 3941.4608527
9305.49177631, 5330.73982074, 3.72, 3934.47085942
9266.18203065, 5304.76045953, 3.71, 3927.47776016
9226.94223156, 5278.83947022, 3.7, 3920.48154102
9187.77241033, 5252.97686355, 3.69, 3913.48218804
9148.67259837, 5227.17265034, 3.68, 3906.47968715
9109.64282719, 5201.42684142, 3.67, 3899.47402414
9070.6831285, 5175.7394477, 3.66, 3892.46518475
9031.79353419, 5150.11048014, 3.65, 3885.45315461
8992.97407619, 5124.53994973, 3.64, 3878.43791921
8954.2247866, 5099.02786751, 3.63, 3871.41946394
8915.54569775, 5073.57424461, 3.62, 3864.39777413
8876.93684202, 5048.17909216, 3.61, 3857.37283495
8838.398252, 5022.84242137, 3.6, 3850.34463149
8799.92996037, 4997.5642435, 3.59, 3843.31314871
8761.53200007, 4972.34456986, 3.58, 3836.27837149
8723.20440405, 4947.18341181, 3.57, 3829.24028456
8684.94720553, 4922.08078078, 3.56, 3822.19887256
8646.7604378, 4897.03668821, 3.55, 3815.15412
8608.64413437, 4872.05114565, 3.54, 3808.10601131
8570.59832887, 4847.12416466, 3.53, 3801.05453075
8532.62305511, 4822.25575689, 3.52, 3793.9996625
8494.71834704, 4797.44593401, 3.51, 3786.94139061
8456.88423877, 4772.69470778, 3.5, 3779.87969901
8419.12076458, 4748.00208999, 3.49, 3772.81457151
8381.42795892, 4723.3680925, 3.48, 3765.74599179
8343.80585638, 4698.79272722, 3.47, 3758.6739434
8306.25449174, 4674.27600613, 3.46, 3751.59840979
8268.77389993, 4649.81794125, 3.45, 3744.51937426
8231.36411606, 4625.41854468, 3.44, 3737.43681998
8194.02517539, 4601.07782855, 3.43, 3730.35073001
8156.75711337, 4576.79580507, 3.42, 3723.26108726
8119.55996562, 4552.57248651, 3.41, 3716.16787452
8082.4337679, 4528.40788519, 3.4, 3709.07107444
8045.37855622, 4504.30201351, 3.39, 3701.97066953
8008.39436667, 4480.25488389, 3.38, 3694.86664218
