# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
7865.06437293, 2816.42991625, 4.5, 2373.6653976
7841.3383394, 2806.88046145, 4.49, 2371.5409356
7817.63356185, 2797.34205119, 4.48, 2369.41419934
7793.95006306, 2787.81469328, 4.47, 2367.28518039
7770.28786592, 2778.29839557, 4.46, 2365.15387029
7746.64699335, 2768.79316591, 4.45, 2363.02026051
7723.02746845, 2759.29901222, 4.44, 2360.88434249
7699.42931425, 2749.8159424, 4.43, 2358.7461076
7675.85255408, 2740.34396443, 4.42, 2356.60554717
7652.29721114, 2730.88308629, 4.41, 2354.46265248
7628.76330889, 2721.43331601, 4.4, 2352.31741475
7605.25087075, 2711.99466161, 4.39, 2350.16982514
7581.75992026, 2702.56713118, 4.38, 2348.01987476
7558.29048118, 2693.15073285, 4.37, 2345.8675547
7534.84257714, 2683.74547473, 4.36, 2343.71285593
7511.41623205, 2674.35136502, 4.35, 2341.55576944
7488.01146981, 2664.96841192, 4.34, 2339.39628611
7464.62831442, 2655.59662364, 4.33, 2337.23439678
7441.26678997, 2646.23600847, 4.32, 2335.07009223
7417.92692068, 2636.8865747, 4.31, 2332.9033632
7394.60873085, 2627.54833066, 4.3, 2330.73420035
7371.31224486, 2618.22128472, 4.29, 2328.56259431
7348.03748717, 2608.90544527, 4.28, 2326.38853562
7324.7844824, 2599.60082075, 4.27, 2324.21201479
7301.55325519, 2590.30741961, 4.26, 2322.03302225
7278.34383028, 2581.02525035, 4.25, 2319.85154838
7255.15623257, 2571.7543215, 4.24, 2317.66758351
7231.99048699, 2562.49464163, 4.23, 2315.48111788
7208.8466186, 2553.24621931, 4.22, 2313.29214168
7185.7246526, 2544.0090632, 4.21, 2311.10064508
7162.62461419, 2534.78318195, 4.2, 2308.90661813
7139.54652874, 2525.56858426, 4.19, 2306.71005083
7116.49042173, 2516.36527887, 4.18, 2304.51093316
7093.45631866, 2507.17327454, 4.17, 2302.30925496
7070.44424525, 2497.99258009, 4.16, 2300.10500609
7047.4542272, 2488.82320433, 4.15, 2297.89817627
7024.4862904, 2479.66515617, 4.14, 2295.68875521
7001.5404608, 2470.51844449, 4.13, 2293.47673252
6978.61676449, 2461.38307827, 4.12, 2291.26209776
6955.71522765, 2452.25906647, 4.11, 2289.04484042
6932.83587652, 2443.14641811, 4.1, 2286.82494991
6909.9787375, 2434.04514226, 4.09, 2284.60241559
6887.14383709, 2424.955248, 4.08, 2282.37722674
6864.3312019, 2415.87674447, 4.07, 2280.14937257
6841.54085862, 2406.80964084, 4.06, 2277.91884223
6818.77283405, 2397.75394631, 4.05, 2275.68562478
6796.02715516, 2388.70967014, 4.04, 2273.44970923
6773.30384895, 2379.67682159, 4.03, 2271.2110845
6750.6029426, 2370.65541, 4.02, 2268.96973945
6727.92446331, 2361.64544471, 4.01, 2266.72566285
6705.26843853, 2352.64693515, 4.0, 2264.47884342
6682.6348957, 2343.65989073, 3.99, 2262.22926978
6660.02386239, 2334.68432094, 3.98, 2259.97693048
6637.43536639, 2325.72023531, 3.97, 2257.72181403
6614.86943546, 2316.76764337, 3.96, 2255.4639088
6592.32609761, 2307.82655475, 3.95, 2253.20320313
6569.80538084, 2298.89697906, 3.94, 2250.93968525
6547.30731335, 2289.978926, 3.93, 2248.67334335
6524.83192347, 2281.07240529, 3.92, 2246.4041655
6502.37923959, 2272.17742668, 3.91, 2244.13213971
6479.94929027, 2263.29399999, 3.9, 2241.85725391
6457.54210415, 2254.42213506, 3.89, 2239.57949594
6435.15771, 2245.56184177, 3.88, 2237.29885355
6412.79613679, 2236.71313008, 3.87, 2235.01531444
6390.45741347, 2227.87600994, 3.86, 2232.72886617
6368.14156926, 2219.05049137, 3.85, 2230.43949627
6345.8486334, 2210.23658445, 3.84, 2228.14719215
6323.57863531, 2201.43429926, 3.83, 2225.85194114
6301.3316045, 2192.64364596, 3.82, 2223.55373049
6279.10757064, 2183.86463474, 3.81, 2221.25254734
6256.90656355, 2175.09727585, 3.8, 2218.94837879
6234.72861312, 2166.34157957, 3.79, 2216.64121179
6212.57374941, 2157.59755623, 3.78, 2214.33103324
6190.44200258, 2148.8652162, 3.77, 2212.01782992
6168.33340299, 2140.14456991, 3.76, 2209.70158854
6146.24798105, 2131.43562782, 3.75, 2207.3822957
6124.18576735, 2122.73840044, 3.74, 2205.05993791
6102.14679264, 2114.05289835, 3.73, 2202.73450161
6080.1310877, 2105.37913214, 3.72, 2200.40597308
6058.13868357, 2096.71711247, 3.71, 2198.07433856
6036.16961139, 2088.06685005, 3.7, 2195.73958417
6014.2239024, 2079.42835562, 3.69, 2193.40169594
5992.30158804, 2070.80164001, 3.68, 2191.0606598
5970.40269981, 2062.18671404, 3.67, 2188.71646154
5948.52726942, 2053.58358862, 3.66, 2186.3690869
5926.67532877, 2044.99227471, 3.65, 2184.0185215
5904.84690976, 2036.41278331, 3.64, 2181.66475084
5883.04204453, 2027.84512545, 3.63, 2179.30776033
5861.2607654, 2019.28931226, 3.62, 2176.94753527
5839.50310473, 2010.74535487, 3.61, 2174.58406083
5817.76909514, 2002.21326451, 3.6, 2172.21732213
5796.05876928, 1993.6930524, 3.59, 2169.84730409
5774.3721601, 1985.18472989, 3.58, 2167.47399162
5752.70930056, 1976.68830832, 3.57, 2165.09736943
5731.07022386, 1968.20379911, 3.56, 2162.71742218
5709.45496331, 1959.73121372, 3.55, 2160.33413438
5687.86355242, 1951.27056369, 3.54, 2157.94749043
5666.29602481, 1942.82186059, 3.53, 2155.55747462
5644.75241428, 1934.38511605, 3.52, 2153.16407112
5623.23275481, 1925.96034177, 3.51, 2150.76726398
5601.73708047, 1917.54754948, 3.5, 2148.36703713
5580.26542558, 1909.14675099, 3.49, 2145.96337437
5558.81782457, 1900.75795815, 3.48, 2143.5562594
5537.39431203, 1892.38118287, 3.47, 2141.14567576
5515.99492274, 1884.01643713, 3.46, 2138.7316069
5494.61969163, 1875.66373296, 3.45, 2136.31403611
5473.26865383, 1867.32308244, 3.44, 2133.89294659
5451.94184456, 1858.99449772, 3.43, 2131.46832136
5430.6392993, 1850.677991, 3.42, 2129.04014336
5409.36105367, 1842.37357456, 3.41, 2126.60839537
5388.10714342, 1834.08126071, 3.4, 2124.17306004
5366.87760456, 1825.80106184, 3.39, 2121.73411988
5345.67247318, 1817.5329904, 3.38, 2119.29155727
5324.49178562, 1809.27705891, 3.37, 2116.84535446
5303.33557835, 1801.03327991, 3.36, 2114.39549353
5282.20388808, 1792.80166606, 3.35, 2111.94195646
5261.09675162, 1784.58223006, 3.34, 2109.48472505
5240.01420603, 1776.37498465, 3.33, 2107.02378098
5218.95628852, 1768.17994266, 3.32, 2104.55910578
5197.92303649, 1759.99711699, 3.31, 2102.09068081
5176.91448753, 1751.82652059, 3.3, 2099.61848731
5155.93067946, 1743.66816648, 3.29, 2097.14250637
5134.97165018, 1735.52206774, 3.28, 2094.66271888
5114.0374379, 1727.38823753, 3.27, 2092.17910563
5093.12808096, 1719.26668906, 3.26, 2089.69164725
5072.24361792, 1711.15743564, 3.25, 2087.20032417
