# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
22014.2635457, 16985.629089, 4.5, 8666.64280772
21927.6776601, 16913.2197821, 4.49, 8650.53395148
21841.2528743, 16840.9613637, 4.48, 8634.42282098
21754.9892113, 16768.8538415, 4.47, 8618.30940778
21668.8866938, 16696.8972235, 4.46, 8602.19370344
21582.9453449, 16625.0915175, 4.45, 8586.07569941
21497.1651876, 16553.4367314, 4.44, 8569.95538715
21411.5462449, 16481.9328731, 4.43, 8553.83275801
21326.0885402, 16410.5799506, 4.42, 8537.70780334
21240.7920967, 16339.3779718, 4.41, 8521.5805144
21155.6569378, 16268.3269449, 4.4, 8505.45088243
21070.6830869, 16197.4268778, 4.39, 8489.31889857
20985.8705677, 16126.6777786, 4.38, 8473.18455395
20901.2194038, 16056.0796555, 4.37, 8457.04783964
20816.7296189, 15985.6325165, 4.36, 8440.90874664
20732.4012368, 15915.3363698, 4.35, 8424.7672659
20648.2342816, 15845.1912237, 4.34, 8408.62338832
20564.2287772, 15775.1970864, 4.33, 8392.47710475
20480.3847476, 15705.3539661, 4.32, 8376.32840595
20396.7022172, 15635.6618712, 4.31, 8360.17728268
20313.1812101, 15566.1208099, 4.3, 8344.02372558
20229.8217508, 15496.7307907, 4.29, 8327.8677253
20146.6238638, 15427.4918219, 4.28, 8311.70927236
20063.5875736, 15358.403912, 4.27, 8295.54835729
19980.712905, 15289.4670694, 4.26, 8279.38497051
19897.9998825, 15220.6813026, 4.25, 8263.21910239
19815.4485313, 15152.0466202, 4.24, 8247.05074327
19733.0588761, 15083.5630307, 4.23, 8230.8798834
19650.830942, 15015.2305427, 4.22, 8214.70651296
19568.7647542, 14947.0491648, 4.21, 8198.53062211
19486.860338, 14879.0189058, 4.2, 8182.35220091
19405.1177187, 14811.1397742, 4.19, 8166.17123937
19323.5369218, 14743.4117789, 4.18, 8149.98772745
19242.1179728, 14675.8349286, 4.17, 8133.80165501
19160.8608973, 14608.4092322, 4.16, 8117.6130119
19079.7657212, 14541.1346983, 4.15, 8101.42178783
18998.8324702, 14474.011336, 4.14, 8085.22797253
18918.0611704, 14407.0391541, 4.13, 8069.03155559
18837.4518479, 14340.2181617, 4.12, 8052.83252658
18757.0045287, 14273.5483675, 4.11, 8036.630875
18676.7192392, 14207.0297808, 4.1, 8020.42659025
18596.5960058, 14140.6624105, 4.09, 8004.21966168
18516.6348549, 14074.4462658, 4.08, 7988.01007859
18436.8358131, 14008.3813557, 4.07, 7971.79783018
18357.1989072, 13942.4676895, 4.06, 7955.58290559
18277.724164, 13876.7052763, 4.05, 7939.3652939
18198.4116104, 13811.0941254, 4.04, 7923.1449841
18119.2612734, 13745.634246, 4.03, 7906.92196512
18040.2731802, 13680.3256476, 4.02, 7890.69622583
17961.447358, 13615.1683394, 4.01, 7874.46775499
17882.7838343, 13550.1623309, 4.0, 7858.23654131
17804.2826365, 13485.3076315, 3.99, 7842.00257343
17725.9437921, 13420.6042506, 3.98, 7825.76583989
17647.767329, 13356.0521979, 3.97, 7809.52632919
17569.7532749, 13291.6514828, 3.96, 7793.28402971
17491.9016578, 13227.4021149, 3.95, 7777.0389298
17414.2125057, 13163.3041039, 3.94, 7760.79101768
