# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
16704.5638559, 11675.9293992, 4.5, 6306.77627892
16641.5504148, 11627.0925369, 4.49, 6295.91157053
16578.6456321, 11578.3541215, 4.48, 6285.04458786
16515.8495307, 11529.7141609, 4.47, 6274.17532251
16453.1621334, 11481.172663, 4.46, 6263.30376601
16390.5834631, 11432.7296356, 4.45, 6252.42990982
16328.1135429, 11384.3850867, 4.44, 6241.5537454
16265.7523959, 11336.1390241, 4.43, 6230.6752641
16203.5000454, 11287.9914558, 4.42, 6219.79445728
16141.3565146, 11239.9423898, 4.41, 6208.91131618
16079.3218269, 11191.9918341, 4.4, 6198.02583205
16017.3960059, 11144.1397967, 4.39, 6187.13799604
15955.5790749, 11096.3862858, 4.38, 6176.24779925
15893.8710578, 11048.7313095, 4.37, 6165.35523279
15832.2719782, 11001.1748758, 4.36, 6154.46028762
15770.78186, 10953.716993, 4.35, 6143.56295473
15709.4007272, 10906.3576693, 4.34, 6132.663225
15648.1286036, 10859.0969129, 4.33, 6121.76108926
15586.9655135, 10811.934732, 4.32, 6110.85653831
15525.911481, 10764.871135, 4.31, 6099.94956287
15464.9665304, 10717.9061302, 4.3, 6089.04015362
15404.1306861, 10671.0397259, 4.29, 6078.12830117
15343.4039726, 10624.2719307, 4.28, 6067.21399608
15282.7864144, 10577.6027528, 4.27, 6056.29722885
15222.2780363, 10531.0322007, 4.26, 6045.37798991
15161.8788629, 10484.560283, 4.25, 6034.45626964
15101.5889193, 10438.1870082, 4.24, 6023.53205836
15041.4082302, 10391.9123848, 4.23, 6012.60534633
14981.3368207, 10345.7364214, 4.22, 6001.67612373
14921.3747161, 10299.6591267, 4.21, 5990.74438073
14861.5219416, 10253.6805094, 4.2, 5979.81010737
14801.7785225, 10207.800578, 4.19, 5968.87329367
14742.1444843, 10162.0193414, 4.18, 5957.93392959
14682.6198525, 10116.3368084, 4.17, 5946.992005
14623.2046528, 10070.7529876, 4.16, 5936.04750972
14563.8989109, 10025.2678881, 4.15, 5925.1004335
14504.7026528, 9979.88151857, 4.14, 5914.15076603
14445.6159043, 9934.59388802, 4.13, 5903.19849694
14386.6386916, 9889.40500538, 4.12, 5892.24361577
14327.7710408, 9844.31487964, 4.11, 5881.28611203
14269.0129782, 9799.3235198, 4.1, 5870.32597512
14210.3645302, 9754.43093492, 4.09, 5859.3631944
14151.8257232, 9709.63713411, 4.08, 5848.39775914
14093.3965839, 9664.94212649, 4.07, 5837.42965857
14035.077139, 9620.34592123, 4.06, 5826.45888183
13976.8674153, 9575.84852754, 4.05, 5815.48541798
13918.7674397, 9531.44995466, 4.04, 5804.50925602
13860.7772392, 9487.15021187, 4.03, 5793.53038489
13802.8968411, 9442.94930851, 4.02, 5782.54879344
13745.1262725, 9398.84725392, 4.01, 5771.56447043
13687.4655609, 9354.84405751, 4.0, 5760.5774046
13629.9147337, 9310.93972872, 3.99, 5749.58758456
13572.4738185, 9267.13427701, 3.98, 5738.59499886
13515.142843, 9223.42771192, 3.97, 5727.599636
13457.9218351, 9179.820043, 3.96, 5716.60148437
13400.8108227, 9136.31127985, 3.95, 5705.6005323
13343.8098339, 9092.90143211, 3.94, 5694.59676802
13286.9188968, 9049.59050945, 3.93, 5683.59017971
13230.1380398, 9006.3785216, 3.92, 5672.58075546
13173.4672912, 8963.26547833, 3.91, 5661.56848327
13116.9066797, 8920.25138944, 3.9, 5650.55335107
13060.4562339, 8877.33626477, 3.89, 5639.53534669
13004.1159824, 8834.52011421, 3.88, 5628.5144579
12947.8859544, 8791.8029477, 3.87, 5617.49067238
12891.7661787, 8749.18477521, 3.86, 5606.46397771
12835.7566847, 8706.66560676, 3.85, 5595.43436141
12779.8575014, 8664.24545242, 3.84, 5584.40181088
12724.0686583, 8621.92432227, 3.83, 5573.36631347
12668.390185, 8579.70222648, 3.82, 5562.32785641
12612.8221111, 8537.57917524, 3.81, 5551.28642687
12557.3644665, 8495.55517879, 3.8, 5540.24201191
12502.017281, 8453.63024741, 3.79, 5529.19459851
12446.7805846, 8411.80439143, 3.78, 5518.14417356
12391.6544076, 8370.07762123, 3.77, 5507.09072383
12336.6387803, 8328.44994723, 3.76, 5496.03423605
12281.7337331, 8286.9213799, 3.75, 5484.97469681
12226.9392967, 8245.49192974, 3.74, 5473.91209262
12172.2555016, 8204.16160734, 3.73, 5462.84640991
12117.6823788, 8162.93042327, 3.72, 5451.77763498
12063.2199593, 8121.79838821, 3.71, 5440.70575405
12008.8682742, 8080.76551287, 3.7, 5429.63075327
11954.6273548, 8039.83180799, 3.69, 5418.55261863
11900.4972324, 7998.99728438, 3.68, 5407.47133608
11846.4779386, 7958.26195288, 3.67, 5396.38689142
11792.5695052, 7917.62582439, 3.66, 5385.29927038
11738.7719639, 7877.08890988, 3.65, 5374.20845858
11685.0853468, 7836.65122034, 3.64, 5363.11444152
11631.5096859, 7796.31276681, 3.63, 5352.0172046
11578.0450135, 7756.0735604, 3.62, 5340.91673313
11524.6913621, 7715.93361227, 3.61, 5329.8130123
11471.4487643, 7675.89293362, 3.6, 5318.70602719
11418.3172526, 7635.9515357, 3.59, 5307.59576275
11365.29686, 7596.10942984, 3.58, 5296.48220388
11312.3876196, 7556.36662737, 3.57, 5285.36533529
11259.5895645, 7516.72313973, 3.56, 5274.24514164
11206.902728, 7477.17897838, 3.55, 5263.12160742
11154.3271436, 7437.73415486, 3.54, 5251.99471707
11101.8628449, 7398.38868072, 3.53, 5240.86445486
11049.5098658, 7359.14256761, 3.52, 5229.73080496
10997.2682403, 7319.99582722, 3.51, 5218.59375142
10945.1380023, 7280.94847129, 3.5, 5207.45327816
10893.1191862, 7242.00051162, 3.49, 5196.309369
10841.2118265, 7203.15196006, 3.48, 5185.16200763
10789.4159577, 7164.40282854, 3.47, 5174.01117759
10737.7316146, 7125.75312901, 3.46, 5162.85686232
10686.1588322, 7087.20287351, 3.45, 5151.69904513
10634.6976455, 7048.75207414, 3.44, 5140.53770921
10583.3480899, 7010.40074302, 3.43, 5129.37283758
10532.1102007, 6972.14889238, 3.42, 5118.20441318
10480.9840136, 6933.99653447, 3.41, 5107.03241878
10429.9695643, 6895.94368161, 3.4, 5095.85683704
10379.0668889, 6857.99034621, 3.39, 5084.67765048
10328.2760235, 6820.1365407, 3.38, 5073.49484147
10277.5970043, 6782.38227759, 3.37, 5062.30839226
10227.0298679, 6744.72756945, 3.36, 5051.11828492
10176.5746509, 6707.17242892, 3.35, 5039.92450145
10126.2313903, 6669.7168687, 3.34, 5028.72702364
10076.0001229, 6632.36090153, 3.33, 5017.52583317
10025.8808861, 6595.10454026, 3.32, 5006.32091156
9975.87371727, 6557.94779776, 3.31, 4995.11224019
9925.97865394, 6520.890687, 3.3, 4983.89980028
9876.19573397, 6483.93322099, 3.29, 4972.68357294
9826.52499526, 6447.07541282, 3.28, 4961.46353905
9776.96647601, 6410.31727563, 3.27, 4950.2396794
9727.52021456, 6373.65882266, 3.26, 4939.01197461
9678.18624948, 6337.1000672, 3.25, 4927.78040513
9628.96461949, 6300.64102259, 3.24, 4916.54495126
9579.85536354, 6264.28170226, 3.23, 4905.30559313
9530.85852079, 6228.02211971, 3.22, 4894.06231071
9481.97413057, 6191.86228851, 3.21, 4882.81508383
9433.20223242, 6155.80222228, 3.2, 4871.5638921
9384.54286611, 6119.84193475, 3.19, 4860.308715
9335.99607156, 6083.98143968, 3.18, 4849.04953184
9287.56188897, 6048.22075093, 3.17, 4837.78632174
9239.24035871, 6012.55988243, 3.16, 4826.51906365
9191.03152135, 5976.99884817, 3.15, 4815.24773636
9142.9354177, 5941.53766223, 3.14, 4803.97231845
9094.95208878, 5906.17633875, 3.13, 4792.69278835
9047.08157581, 5870.91489196, 3.12, 4781.40912429
8999.32392023, 5835.75333616, 3.11, 4770.12130431
8951.67916374, 5800.69168574, 3.1, 4758.82930628
8904.1473482, 5765.72995513, 3.09, 4747.53310787
8856.72851574, 5730.86815888, 3.08, 4736.23268657
8809.42270873, 5696.1063116, 3.07, 4724.92801965
8762.22996968, 5661.44442798, 3.06, 4713.6190842
8715.15034143, 5626.88252278, 3.05, 4702.30585712
8668.18386702, 5592.42061088, 3.04, 4690.9883151
8621.33058969, 5558.0587072, 3.03, 4679.66643462
8574.59055296, 5523.79682676, 3.02, 4668.34019196
8527.96380057, 5489.63498465, 3.01, 4657.0095632
8481.45037649, 5455.57319607, 3.0, 4645.67452419
8435.05032496, 5421.61147629, 2.99, 4634.33505059
8388.76369045, 5387.74984066, 2.98, 4622.99111782
8342.59051766, 5353.98830462, 2.97, 4611.6427011
8296.53085156, 5320.32688369, 2.96, 4600.28977542
8250.58473737, 5286.76559351, 2.95, 4588.93231555
8204.75222055, 5253.30444976, 2.94, 4577.57029602
8159.03334683, 5219.94346825, 2.93, 4566.20369116
8113.4281622, 5186.68266486, 2.92, 4554.83247502
8067.93671289, 5153.52205557, 2.91, 4543.45662146
8022.55904542, 5120.46165644, 2.9, 4532.07610409
7977.29520655, 5087.50148363, 2.89, 4520.69089626
7932.14524333, 5054.6415534, 2.88, 4509.30097108
7887.10920306, 5021.88188209, 2.87, 4497.90630145
7842.18713332, 4989.22248616, 2.86, 4486.50685996
7797.37908197, 4956.66338214, 2.85, 4475.10261898
7752.68509714, 4924.20458666, 2.84, 4463.69355063
7708.10522725, 4891.84611647, 2.83, 4452.27962676
7663.63952099, 4859.58798839, 2.82, 4440.86081893
7619.28802736, 4827.43021936, 2.81, 4429.43709848
7575.05079561, 4795.37282642, 2.8, 4418.00843644
7530.92787532, 4763.4158267, 2.79, 4406.57480359
7486.91931633, 4731.55923745, 2.78, 4395.13617042
7443.02516879, 4699.803076, 2.77, 4383.69250714
7399.24548317, 4668.14735981, 2.76, 4372.24378369
7355.58031021, 4636.59210642, 2.75, 4360.78996968
7312.02970097, 4605.1373335, 2.74, 4349.33103448
7268.59370682, 4573.78305883, 2.73, 4337.86694712
7225.27237943, 4542.52930027, 2.72, 4326.39767636
7182.06577079, 4511.37607582, 2.71, 4314.92319063
7138.97393323, 4480.32340357, 2.7, 4303.44345807
7095.99691935, 4449.37130173, 2.69, 4291.9584465
7053.13478213, 4418.51978865, 2.68, 4280.46812342
7010.38757483, 4387.76888273, 2.67, 4268.97245602
6967.75535106, 4357.11860256, 2.66, 4257.47141113
6925.23816477, 4326.56896679, 2.65, 4245.96495531
6882.83607024, 4296.11999421, 2.64, 4234.45305471
6840.54912208, 4265.77170374, 2.63, 4222.93567522
6798.37737524, 4235.52411441, 2.62, 4211.41278231
6756.32088506, 4205.37724536, 2.61, 4199.88434115
6714.37970717, 4175.33111586, 2.6, 4188.35031655
6672.55389759, 4145.38574532, 2.59, 4176.81067294
6630.8435127, 4115.54115327, 2.58, 4165.26537441
6589.24860921, 4085.79735934, 2.57, 4153.71438465
6547.76924424, 4056.15438331, 2.56, 4142.15766701
6506.40547523, 4026.6122451, 2.55, 4130.59518445
6465.15736004, 3997.17096475, 2.54, 4119.02689952
6424.02495686, 3967.83056241, 2.53, 4107.45277441
6383.00832429, 3938.5910584, 2.52, 4095.87277091
6342.10752131, 3909.45247315, 2.51, 4084.28685038
6301.32260728, 3880.41482724, 2.5, 4072.69497381
6260.65364197, 3851.47814138, 2.49, 4061.09710174
6220.10068552, 3822.64243642, 2.48, 4049.49319433
6179.66379848, 3793.90773335, 2.47, 4037.88321127
6139.34304184, 3765.27405331, 2.46, 4026.26711185
6099.13847692, 3736.74141758, 2.45, 4014.6448549
6059.05016555, 3708.30984758, 2.44, 4003.01639883
6019.07816992, 3679.97936489, 2.43, 3991.38170157
5979.22255263, 3651.74999121, 2.42, 3979.7407206
5939.48337676, 3623.62174843, 2.41, 3968.09341294
5899.86070578, 3595.59465856, 2.4, 3956.43973514
