# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
16714.5638559, 11665.9293992, 4.5, 6306.77627893
16651.5504148, 11617.0925369, 4.49, 6295.91157053
16588.6456321, 11568.3541215, 4.48, 6285.04458786
16525.8495307, 11519.7141609, 4.47, 6274.17532251
16463.1621334, 11471.172663, 4.46, 6263.30376601
16400.5834631, 11422.7296356, 4.45, 6252.42990982
16338.1135429, 11374.3850867, 4.44, 6241.55374541
16275.7523959, 11326.1390241, 4.43, 6230.67526411
16213.5000454, 11277.9914558, 4.42, 6219.79445728
16151.3565146, 11229.9423898, 4.41, 6208.91131618
16089.3218269, 11181.9918341, 4.4, 6198.02583204
16027.3960059, 11134.1397967, 4.39, 6187.13799603
15965.5790749, 11086.3862858, 4.38, 6176.24779925
15903.8710578, 11038.7313095, 4.37, 6165.35523279
15842.2719782, 10991.1748758, 4.36, 6154.46028763
15780.78186, 10943.716993, 4.35, 6143.56295473
15719.4007272, 10896.3576693, 4.34, 6132.66322499
15658.1286036, 10849.0969129, 4.33, 6121.76108926
15596.9655135, 10801.934732, 4.32, 6110.85653831
15535.911481, 10754.871135, 4.31, 6099.94956287
15474.9665304, 10707.9061302, 4.3, 6089.04015362
15414.1306861, 10661.039726, 4.29, 6078.12830118
15353.4039726, 10614.2719307, 4.28, 6067.21399608
15292.7864144, 10567.6027528, 4.27, 6056.29722885
15232.2780363, 10521.0322007, 4.26, 6045.37798991
15171.8788629, 10474.560283, 4.25, 6034.45626964
15111.5889193, 10428.1870082, 4.24, 6023.53205836
15051.4082302, 10381.9123848, 4.23, 6012.60534632
14991.3368207, 10335.7364214, 4.22, 6001.67612373
14931.3747161, 10289.6591267, 4.21, 5990.74438073
14871.5219416, 10243.6805093, 4.2, 5979.81010737
14811.7785225, 10197.800578, 4.19, 5968.87329368
14752.1444843, 10152.0193414, 4.18, 5957.93392959
14692.6198525, 10106.3368084, 4.17, 5946.99200499
14633.2046528, 10060.7529876, 4.16, 5936.04750972
14573.8989109, 10015.2678881, 4.15, 5925.1004335
14514.7026528, 9969.88151857, 4.14, 5914.15076603
