# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
16694.5638559, 11685.9293992, 4.5, 6306.77627893
16631.5504148, 11637.0925369, 4.49, 6295.91157053
16568.6456322, 11588.3541215, 4.48, 6285.04458787
16505.8495307, 11539.7141609, 4.47, 6274.17532251
16443.1621334, 11491.172663, 4.46, 6263.30376601
16380.5834631, 11442.7296356, 4.45, 6252.42990982
16318.1135429, 11394.3850867, 4.44, 6241.5537454
16255.7523959, 11346.1390241, 4.43, 6230.67526411
16193.5000454, 11297.9914558, 4.42, 6219.79445728
16131.3565146, 11249.9423898, 4.41, 6208.91131618
16069.3218269, 11201.9918341, 4.4, 6198.02583204
16007.3960059, 11154.1397967, 4.39, 6187.13799603
15945.5790749, 11106.3862858, 4.38, 6176.24779925
15883.8710578, 11058.7313095, 4.37, 6165.35523279
15822.2719782, 11011.1748758, 4.36, 6154.46028762
15760.78186, 10963.716993, 4.35, 6143.56295473
15699.4007272, 10916.3576693, 4.34, 6132.66322499
15638.1286036, 10869.0969129, 4.33, 6121.76108926
15576.9655135, 10821.934732, 4.32, 6110.85653831
15515.911481, 10774.871135, 4.31, 6099.94956287
15454.9665304, 10727.9061302, 4.3, 6089.04015362
15394.1306861, 10681.0397259, 4.29, 6078.12830117
15333.4039726, 10634.2719307, 4.28, 6067.21399608
15272.7864144, 10587.6027528, 4.27, 6056.29722885
15212.2780363, 10541.0322007, 4.26, 6045.37798991
15151.8788629, 10494.560283, 4.25, 6034.45626964
15091.5889192, 10448.1870082, 4.24, 6023.53205836
15031.4082302, 10401.9123848, 4.23, 6012.60534633
14971.3368207, 10355.7364214, 4.22, 6001.67612373
14911.3747161, 10309.6591267, 4.21, 5990.74438073
14851.5219416, 10263.6805094, 4.2, 5979.81010737
14791.7785225, 10217.800578, 4.19, 5968.87329367
14732.1444843, 10172.0193414, 4.18, 5957.93392959
14672.6198525, 10126.3368084, 4.17, 5946.992005
14613.2046528, 10080.7529876, 4.16, 5936.04750972
14553.8989109, 10035.2678881, 4.15, 5925.1004335
14494.7026528, 9989.88151856, 4.14, 5914.15076603
14435.6159043, 9944.59388802, 4.13, 5903.19849694
14376.6386916, 9899.40500538, 4.12, 5892.24361577
14317.7710408, 9854.31487964, 4.11, 5881.28611203
14259.0129782, 9809.3235198, 4.1, 5870.32597512
14200.3645302, 9764.43093492, 4.09, 5859.3631944
14141.8257232, 9719.63713411, 4.08, 5848.39775915
14083.3965839, 9674.94212649, 4.07, 5837.42965858
14025.077139, 9630.34592123, 4.06, 5826.45888183
13966.8674153, 9585.84852754, 4.05, 5815.48541798
13908.7674397, 9541.44995465, 4.04, 5804.50925602
