# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
#energia, pressao, rho, mu
6274.9010852006,3080.8684120187,3.15,2970.0855546728
6245.2273150767,3063.8295596031,3.14,2964.667794484
6215.6077431095,3046.8319930799,3.13,2959.2459221052
6186.042410514,3029.875726668,3.12,2953.8199157635
6156.5313587338,3012.9607746659,3.11,2948.3897535047
6127.07462946,2996.0871514581,3.1,2942.9554131994
6097.6722645675,2979.2548714939,3.09,2937.5168725118
6068.3243061753,2962.4639493075,3.08,2932.074108923
6039.0307966431,2945.714399517,3.07,2926.6270997264
6009.7917784981,2929.0062368002,3.06,2921.1758219929
5980.6072945913,2912.3394759457,3.05,2915.7202526351
5951.4773879322,2895.7141317996,3.04,2910.2603683329
5922.4021017863,2879.1302192967,3.03,2904.7961455719
5893.3814796562,2862.5877534544,3.02,2899.3275606327
5864.4155652852,2846.0867493746,3.01,2893.854589588
5835.50440266,2829.6272222437,3,2888.3772083012
5806.648036002,2813.2091873308,2.99,2882.895392419
5777.846509778,2796.8326599904,2.98,2877.4091173719
5749.0998687042,2780.4976556642,2.97,2871.9183583732
5720.4081577475,2764.2041898815,2.96,2866.4230904152
5691.7714221143,2747.9522782558,2.95,2860.9232882611
5663.1897072765,2731.7419364927,2.94,2855.4189264521
5634.663058967,2715.5731803895,2.93,2849.9099793026
5606.1915231658,2699.4460258296,2.92,2844.3964208888
5577.7751461141,2683.3604887882,2.91,2838.8782250523
5549.4139743199,2667.3165853336,2.9,2833.3553653978
5521.108054554,2651.3143316258,2.89,2827.8278152871
5492.8574338418,2635.3537439145,2.88,2822.295547832
5464.6621595148,2619.4348385555,2.87,2816.758535913
5436.5222791447,2603.5576319895,2.86,2811.2167521448
5408.4378405817,2587.7221407544,2.85,2805.6701688898
5380.4088919654,2571.9283814893,2.84,2800.1187582587
5352.4354817214,2556.1763709331,2.83,2794.5624921041
5324.5176585182,2540.4661259108,2.82,2789.0013419961
5296.6554713661,2524.7976633656,2.81,2783.4352792639
5268.8489695184,2509.1710003268,2.8,2777.8642749447
5241.0982025434,2493.5861539337,2.79,2772.2882998126
5213.403220311,2478.0431414306,2.78,2766.7073243675
5185.764072942,2462.5419801511,2.77,2761.1213188062
5158.1808109207,2447.0826875544,2.76,2755.5302530707
5130.6534849772,2431.6652811871,2.75,2749.934096787
5103.1821461768,2416.2897787126,2.74,2744.3328193027
5075.7668458824,2400.9561978989,2.73,2738.7263896635
5048.4076357825,2385.6645566274,2.72,2733.1147766213
5021.1045678589,2370.4148728832,2.71,2727.4979486133
4993.8576944283,2355.2071647678,2.7,2721.8758737763
4966.6670680997,2340.0414504863,2.69,2716.2485199204
4939.5327418594,2324.9177483744,2.68,2710.6158545648
4912.4547689549,2309.8360768612,2.67,2704.9778448749
4885.4332030124,2294.7964545073,2.66,2699.3344577142
4858.468097969,2279.7988999826,2.65,2693.6856596044
4831.5595081013,2264.8434320763,2.64,2688.031416734
4804.7074880312,2249.9300696984,2.63,2682.3716949542
4777.9120927124,2235.0588318755,2.62,2676.7064597664
4751.1733774626,2220.2297377614,2.61,2671.0356763311
4724.4913979325,2205.4428066275,2.6,2665.3593094461
4697.8662101398,2190.698057873,2.59,2659.6773235571
4671.2978704532,2175.995511021,2.58,2653.989682742
4644.786435599,2161.3351857199,2.57,2648.2963507077
4618.331962669,2146.7171017462,2.56,2642.5972907872
4591.9345091405,2132.1412790116,2.55,2636.892465942
4565.5941328405,2117.6077375509,2.54,2631.1818387368
4539.310891978,2103.1164975328,2.53,2625.4653713481
4513.0848451503,2088.6675792623,2.52,2619.7430255606
4486.9160513337,2074.2610031775,2.51,2614.0147627534
4460.8045699004,2059.8967898554,2.5,2608.2805439023
4434.7504605973,2045.5749600048,2.49,2602.5403295591
4408.7537835782,2031.2955344775,2.48,2596.7940798612
4382.8145993986,2017.0585342662,2.47,2591.0417545202
4356.9329690285,2002.8639805089,2.46,2585.2833128201
4331.1089538209,1988.711894479,2.45,2579.5187135918
4305.3426155743,1974.6022976055,2.44,2573.7479152376
4279.6340164849,1960.5352114577,2.43,2567.9708756965
4253.9832191697,1946.510657753,2.42,2562.1875524474
4228.3902866853,1932.5286583629,2.41,2556.3979025096
4202.8552825235,1918.5892353118,2.4,2550.6018824314
4177.3782705774,1904.6924107661,2.39,2544.7994482609
4151.9593152465,1890.8382070686,2.38,2538.9905555946
4126.5984813178,1877.0266467,2.37,2533.1751595012
4101.2958340548,1863.2577523079,2.36,2527.3532145605
4076.0514391808,1849.5315467015,2.35,2521.5246748435
4050.8653628706,1835.8480528491,2.34,2515.6894938973
4025.7376717715,1822.2072938851,2.33,2509.8476247453
4000.668433005,1808.6092931109,2.32,2503.9990198776
3975.6577141603,1795.0540739926,2.31,2498.143631235
3950.7055833324,1781.5416601736,2.3,2492.28141022
3925.8121090883,1768.0720754642,2.29,2486.4123076648
3900.9773604688,1754.6453438417,2.28,2480.5362738204
3876.2014070617,1741.2614894752,2.27,2474.6532583863
3851.4843189316,1727.920536702,2.26,2468.7632104574
3826.8261666588,1714.6225100413,2.25,2462.8660785334
3802.2270213401,1701.367434194,2.24,2456.9618105063
3777.6869546019,1688.1553340476,2.23,2451.0503536545
3753.2060385948,1674.9862346743,2.22,2445.1316546257
3728.7843460199,1661.86016134,2.21,2439.2056594389
3704.4219501104,1648.7771394985,2.2,2433.2723134586
3680.1189246424,1635.7371947948,2.19,2427.3315613869
3655.8753439637,1622.7403530755,2.18,2421.3833472657
3631.6912829629,1609.786640378,2.17,2415.4276144428
3607.5668171354,1596.8760829529,2.16,2409.4643055964
3583.5020225153,1584.0087072416,2.15,2403.4933626776
3559.4969757366,1571.1845398971,2.14,2397.5147269316
3535.5517540272,1558.4036077812,2.13,2391.5283388772
3511.6664352161,1545.6659379681,2.12,2385.5341382945
3487.8410977304,1532.9715577432,2.11,2379.5320642055
3464.0758206023,1520.3204946054,2.1,2373.5220548608
3440.3706835123,1507.7127762821,2.09,2367.5040477485
3416.7257667454,1495.1484307142,2.08,2361.4779795479
3393.1411512388,1482.627486073,2.07,2355.443786141
3369.6169185558,1470.149970751,2.06,2349.4014025761
3346.1531509381,1457.7159133798,2.05,2343.3507630819
3322.7499312724,1445.325342819,2.04,2337.2918010252
3299.4073431314,1432.9782881704,2.03,2331.2244489171
3276.1254707329,1420.6747787644,2.02,2325.148638365
3252.9043990301,1408.4148441901,2.01,2319.0643001096
3229.7442136376,1396.1985142713,2,2312.9713639544
3206.6450008944,1384.0258190871,1.99,2306.8697587847
3183.6068478534,1371.8967889694,1.98,2300.7594125368
3160.6298422832,1359.8114545031,1.97,2294.6402521758
3137.7140726921,1347.7698465346,1.96,2288.5122036871
3114.8596283489,1335.7719961789,1.95,2282.3751920655
3092.0665992525,1323.8179348097,1.94,2276.2291412692
3069.3350761735,1311.9076940739,1.93,2270.0739742215
3046.66515068,1300.0413058996,1.92,2263.9096128019
3024.0569151105,1288.2188024882,1.91,2257.7359778004
3001.5104625862,1276.4402163183,1.9,2251.5529888971
2979.0258870618,1264.7055801632,1.89,2245.3605646693
2956.6032833013,1253.0149270826,1.88,2239.1586225446
2934.2427469033,1241.3682904319,1.87,2232.9470787889
2911.9443743077,1229.7657038644,1.86,2226.7258484796
2889.7082628041,1218.2072013345,1.85,2220.4948454803
2867.5345105582,1206.6928171068,1.84,2214.2539824266
2845.4232166211,1195.2225857594,1.83,2208.0031706997
2823.3744809158,1183.7965421799,1.82,2201.7423203822
2801.3884042933,1172.4147215843,1.81,2195.4713402639
2779.4650884947,1161.0771595048,1.8,2189.1901377775
2757.6046362436,1149.7838918207,1.79,2182.8986190304
2735.8071511443,1138.5349547254,1.78,2176.5966886908
2714.0727378202,1127.3303847718,1.77,2170.284250052
2692.4015018306,1116.1702188463,1.76,2163.96120493
2670.7935497456,1105.0544941931,1.75,2157.6274536793
2649.2489891279,1093.9832484088,1.74,2151.282895136
2627.7679285611,1082.9565194527,1.73,2144.9274265975
2606.3504776539,1071.9743456478,1.72,2138.56094378
2584.9967471015,1061.0367657021,1.71,2132.1833408208
2563.7068486203,1050.1438186875,1.7,2125.7945101811
2542.4808950476,1039.2955440729,1.69,2119.3943426748
2521.3190002981,1028.4919817105,1.68,2112.9827273861
2500.2212794065,1017.7331718506,1.67,2106.5595516509
2479.1878485578,1007.0191551516,1.66,2100.1247010298
2458.2188250792,996.3499726784,1.65,2093.678059247
2437.3143274588,985.7256659086,1.64,2087.2195081508
2416.4744753955,975.1462767502,1.63,2080.7489276968
2395.699389811,964.6118475452,1.62,2074.2661958989
2374.9891928081,954.1224210575,1.61,2067.7711887364
2354.3440077838,943.6780405099,1.6,2061.2637801835
2333.7639593876,933.2787495716,1.59,2054.7438421127
2313.2491735575,922.9245923704,1.58,2048.2112442582
2292.7997775702,912.6156135097,1.57,2041.665854191
2272.4159000035,902.3518580575,1.56,2035.1075372185
2252.0976708132,892.1333715717,1.55,2028.5361563773
2231.8452213314,881.9602001006,1.54,2021.9515723584
2211.6586843044,871.832390196,1.53,2015.3536434644
2191.5381938844,861.7499889115,1.52,2008.7422255236
2171.4838857162,851.7130438315,1.51,2002.1171718859
2151.4958968742,841.7216030512,1.5,1995.4783332836
2131.574365984,831.7757152179,1.49,1988.8255578536
2111.7194331788,821.8754295171,1.48,1982.1586910107
2091.9312401583,812.0207956927,1.47,1975.4775754089
2072.2099302026,802.211864053,1.46,1968.78205086
2052.555648225,792.4486854883,1.45,1962.0719542851
2032.9685407644,782.7313114699,1.44,1955.3471196071
2013.4487560536,773.0597940731,1.43,1948.607377711
1993.9964440132,763.4341859767,1.42,1941.8525563309
1974.6117563242,753.8545404873,1.41,1935.0824800081
1955.2948464158,744.3209115371,1.4,1928.2969699663
1936.0458695375,734.8333537078,1.39,1921.4958440613
1916.8649827813,725.3919222398,1.38,1914.6789166819
1897.7523450923,715.9966730365,1.37,1907.8459986342
1878.7081173436,706.6476626901,1.36,1900.9968970836
1859.7324623542,697.3449484888,1.35,1894.1314154393
1840.8255449144,688.0885884266,1.34,1887.2493532395
1821.9875318622,678.8786412291,1.33,1880.3505060837
1803.2185920739,669.7151663525,1.32,1873.4346654746
1784.5188965488,660.5982240125,1.31,1866.501618749
1765.8886184308,651.5278751925,1.3,1859.551148941
1747.3279330525,642.5041816603,1.29,1852.5830346611
1728.8370179821,633.5272059843,1.28,1845.5970499737
1710.4160530823,624.5970115549,1.27,1838.5929642813
1692.0652205249,615.7136625909,1.26,1831.5705421554
1673.7847048755,606.8772241685,1.25,1824.5295432351
1655.5746931285,598.0877622352,1.24,1817.4697220675
1637.4353747558,589.3453436271,1.23,1810.3908279536
1619.3669417612,580.6500360889,1.22,1803.2926047952
1601.3695887333,572.0019082931,1.21,1796.1747909309
1583.44351292,563.4010298661,1.2,1789.0371189884
1565.5889142559,554.8474713998,1.19,1781.8793156771
1547.8059954557,546.341304484,1.18,1774.7011016438
1530.0949620445,537.8826017187,1.17,1767.5021912506
1512.4560224386,529.4714367428,1.16,1760.2822923977
1494.8893880205,521.1078842607,1.15,1753.0411063315
1477.3952731714,512.7920200564,1.14,1745.7783273928
1459.9738953861,504.5239210325,1.13,1738.4936428483
1442.6254753147,496.3036652271,1.12,1731.1867326266
1425.3502368433,488.1313318432,1.11,1723.857269087
1408.1484071818,480.0070012796,1.1,1716.504916783
1391.0202169261,471.9307551547,1.09,1709.1293321842
1373.9659001517,463.9026763402,1.08,1701.7301634185
1356.9856944894,455.9228489888,1.07,1694.3070499796
1340.079841232,447.9913585724,1.06,1686.859622457
1323.2485854084,440.10829191,1.05,1679.387502208
1306.4921758714,432.2737371997,1.04,1671.8903010299
1289.810865419,424.4877840623,1.03,1664.3676208557
1273.2049108735,416.7505235709,1.02,1656.8190533769
1256.6745731952,409.0620482919,1.01,1649.2441796902
1240.2201175871,401.4224523236,1,1641.6425699107
1223.8418135938,393.8318313329,0.99,1634.0137827543
1207.5399352675,386.2902826135,0.98,1626.3573651847
1191.3147612095,378.797905105,0.97,1618.6728518705
1175.1665747655,371.3547994607,0.96,1610.9597648189
1159.0956641194,363.9610680839,0.95,1603.2176128456
1143.1023224295,356.6168151777,0.94,1595.4458910715
1127.1868479848,349.3221468008,0.93,1587.6440804146
1111.3495443206,342.0771709121,0.92,1579.811646992
1095.5907204062,334.881997437,0.91,1571.948041586
1079.9106907707,327.7367383155,0.9,1564.0526989847
1064.309775687,320.6415075682,0.89,1556.1250373655
1048.7883013223,313.5964213526,0.88,1548.1644575851
1033.3465999275,306.6015980319,0.87,1540.1703424821
1017.9850100264,299.6571582443,0.86,1532.1420561287
1002.7038765919,292.7632249681,0.85,1524.0789430117
987.5035512481,285.9199235962,0.84,1515.9803271956
972.3843924972,279.1273820182,0.83,1507.8455114643
957.3467659208,272.3857306952,0.82,1499.673776361
942.3910443957,265.6951027397,0.81,1491.4643791795
927.5176083719,259.0556340158,0.8,1483.2165529846
912.7268460698,252.4674632142,0.79,1474.9295054228
898.0191537811,245.9307319607,0.78,1466.6024176177
883.394936117,239.4455849089,0.77,1458.2344428909
868.8546063024,233.0121698478,0.76,1449.8247054608
854.3985864713,226.6306378105,0.75,1441.3722990424
840.0273079797,220.3011431898,0.74,1432.8762853642
825.7412117351,214.0238438592,0.73,1424.335692595
811.5407485286,207.7989012958,0.72,1415.749513645
797.4263794188,201.6264807207,0.71,1407.1167044218
783.3985760881,195.5067512316,0.7,1398.4361818852
769.4578212575,189.4398859547,0.69,1389.7068220467
755.6046091032,183.4260621989,0.68,1380.9274577972
741.8394456909,177.4654616161,0.67,1372.0968765777
728.1628494549,171.5582703776,0.66,1363.213817928
714.5753516883,165.704679355,0.65,1354.2769708358
701.0774970505,159.904884308,0.64,1345.2849708727
687.6698441283,154.1590860915,0.63,1336.2363971743
674.352966016,148.4674908692,0.62,1327.1297691697
661.1274509245,142.8303103396,0.61,1317.9635430559
647.9939028336,137.2477619765,0.6,1308.7361080169
634.9529421832,131.7200692843,0.59,1299.4457821482
622.005206612,126.2474620712,0.58,1290.0908080744
609.1513517227,120.8301767325,0.57,1280.6693481671
596.3920519187,115.4684565593,0.56,1271.179479425
583.7280012854,110.162552065,0.55,1261.6191879098
571.1599145272,104.9127213312,0.54,1251.9863627007
558.6885279691,99.7192303788,0.53,1242.2787893358
546.314600631,94.5823535651,0.52,1232.4941426847
534.0389153659,89.5023740047,0.51,1222.629979158
521.8622800934,84.4795840261,0.5,1212.6837282389
509.7855291096,79.514285656,0.49,1202.6526831952
497.8095245068,74.6067911444,0.48,1192.5339909398
485.9351576791,69.7574235218,0.47,1182.3246408529
474.163350971,64.9665172083,0.46,1172.0214525637
462.495059435,60.234418664,0.45,1161.6210624423
450.9312727382,55.5614870934,0.44,1151.1199087081
439.4730172249,50.9480952076,0.43,1140.5142149595
428.1213581547,46.3946300514,0.42,1129.7999719194
416.8774021272,41.9014938983,0.41,1118.9729171353
405.7422997279,37.4691052271,0.4,1108.0285123875
394.7172484109,33.0978997853,0.39,1096.9619184517
383.8034956436,28.7883317481,0.38,1085.7679668202
373.0023423572,24.5408749893,0.37,1074.4411279636
362.3151467369,20.3560244758,0.36,1062.975475591
351.7433283817,16.2342977973,0.35,1051.3646462257
341.2883729021,12.1762368536,0.34,1039.6017933994
330.9518370074,8.1824097207,0.33,1027.6795355394
320.7353541478,4.2534127154,0.32,1015.5898964476
310.640640793,0.3898726909,0.31,1003.3242370447
300.6695034498,-3.4075504051,0.3,990.8731768156
290.8238465144,-7.1381606716,0.29,978.2265029062
281.1056811166,-10.8012230459,0.28,965.3730645381
271.5171351003,-14.3959596911,0.27,952.300649664
262.0604643392,-17.9215459155,0.26,938.995840091
252.738065637,-21.3771055389,0.25,925.4438403922
243.552491488,-24.7617056134,0.24,911.6282744773
234.5064670671,-28.0743503783,0.23,897.5309421255
225.6029098982,-31.3139743038,0.22,883.1315254293
216.84495276,-34.4794340446,0.21,868.4072319782
208.2359705529,-37.569499078,0.2,853.3323573745
199.7796120399,-40.5828407469,0.19,837.877743647
191.4798376497,-43.5180193536,0.18,822.0101016448
183.3409649281,-46.3734688468,0.17,805.6911534194
175.367723713,-49.1474785237,0.16,788.8765324329
167.5653238886,-51.8381709888,0.15,771.5143526653
159.9395396377,-54.4434753853,0.14,753.5433160884
152.4968157309,-56.9610946077,0.13,734.8901624867
145.2444038363,-59.388464806,0.12,715.4661585855
138.190540712,-61.7227049876,0.11,695.1621429483
131.3446864027,-63.9605539774,0.1,673.8413242536
