# densidade, pressao, nb, mu
1.50004412648414E+016, 8.7184263827345E+036, 2.69100000000011E+040, 0.0003239846
1.49179319612077E+016, 8.66417403878393E+036, 2.68200000000284E+040, 0.000323049
1.48356249113626E+016, 8.61008207212056E+036, 2.67300000000023E+040, 0.0003221131
1.47535201955001E+016, 8.55615050763612E+036, 2.66400000000375E+040, 0.0003211768
1.4671617894166E+016, 8.50237937033477E+036, 2.65499999999852E+040, 0.0003202403
1.45899180884626E+016, 8.4487686853934E+036, 2.64599999999832E+040, 0.0003193034
1.45084208598861E+016, 8.39531847811403E+036, 2.63700000000004E+040, 0.0003183663
1.44271262903936E+016, 8.34202877394341E+036, 2.62800000000068E+040, 0.0003174288
1.43460344624062E+016, 8.2888995984743E+036, 2.61899999999728E+040, 0.000316491
1.42651454588658E+016, 8.23593097746197E+036, 2.6100000000013E+040, 0.0003155529
1.41844593631048E+016, 8.18312293678621E+036, 2.6010000000015E+040, 0.0003146145
1.41039762589808E+016, 8.13047550249103E+036, 2.592E+040, 0.0003136758
1.40236962308432E+016, 8.07798870077461E+036, 2.58300000000169E+040, 0.0003127367
1.39436193634881E+016, 8.02566255797685E+036, 2.57400000000083E+040, 0.0003117973
1.38637457422461E+016, 7.97349710060434E+036, 2.56500000000364E+040, 0.0003108576
1.37840754528759E+016, 7.92149235530013E+036, 2.55599999999804E+040, 0.0003099175
1.37046085817335E+016, 7.86964834889291E+036, 2.54699999999902E+040, 0.0003089772
1.36253452156105E+016, 7.81796510834983E+036, 2.53800000000246E+040, 0.0003080365
1.35462854417993E+016, 7.76644266079591E+036, 2.52900000000211E+040, 0.0003070954
1.34674293481281E+016, 7.7150810335242E+036, 2.51999999999772E+040, 0.000306154
1.33887770229762E+016, 7.66388025400044E+036, 2.51099999999817E+040, 0.0003052123
1.33103285552026E+016, 7.61284034984238E+036, 2.50200000000014E+040, 0.0003042702
1.32320840341861E+016, 7.56196134883148E+036, 2.49299999999784E+040, 0.0003033278
1.31540435498876E+016, 7.51124327893148E+036, 2.48399999999915E+040, 0.000302385
1.30762071927594E+016, 7.46068616826171E+036, 2.47499999999859E+040, 0.0003014419
1.29985750538242E+016, 7.41029004512058E+036, 2.46599999999822E+040, 0.0003004984
1.29211472246489E+016, 7.36005493797798E+036, 2.45699999999868E+040, 0.0002995545
1.28439237973675E+016, 7.30998087548204E+036, 2.44800000000421E+040, 0.0002986103
1.27669048646067E+016, 7.2600678864375E+036, 2.43900000000008E+040, 0.0002976658
1.26900905196597E+016, 7.21031599985692E+036, 2.43000000000016E+040, 0.0002967208
1.26134808563231E+016, 7.16072524491284E+036, 2.4209999999993E+040, 0.0002957755
1.25370759690051E+016, 7.11129565096962E+036, 2.41200000000218E+040, 0.0002948298
1.24608759526501E+016, 7.06202724756172E+036, 2.40300000000061E+040, 0.0002938838
1.23848809028363E+016, 7.01292006442214E+036, 2.39399999999927E+040, 0.0002929373
1.23090909157139E+016, 6.96397413146462E+036, 2.3849999999967E+040, 0.0002919905
1.22335060880606E+016, 6.9151894788002E+036, 2.37599999999944E+040, 0.0002910433
1.21581265172237E+016, 6.86656613672009E+036, 2.36700000000363E+040, 0.0002900957
1.20829523011411E+016, 6.81810413570215E+036, 2.35799999999941E+040, 0.0002891478
1.20079835384508E+016, 6.76980350644317E+036, 2.34900000000031E+040, 0.0002881994
1.19332203283447E+016, 6.72166427981613E+036, 2.33999999999981E+040, 0.0002872506
1.18586627706721E+016, 6.67368648690071E+036, 2.33099999999903E+040, 0.0002863014
1.17843109659256E+016, 6.62587015897922E+036, 2.32200000000081E+040, 0.0002853519
1.17101650152131E+016, 6.57821532752872E+036, 2.31299999999994E+040, 0.0002844019
1.16362250203142E+016, 6.53072202423773E+036, 2.3039999999974E+040, 0.0002834515
1.15624910836847E+016, 6.48339028100746E+036, 2.29499999999958E+040, 0.0002825007
1.14889633084088E+016, 6.43622012993835E+036, 2.2860000000028E+040, 0.0002815494
1.1415641798234E+016, 6.38921160334014E+036, 2.27700000000121E+040, 0.0002805978
1.13425266576193E+016, 6.34236473374642E+036, 2.2679999999987E+040, 0.0002796457
1.12696179917112E+016, 6.2956795539076E+036, 2.25899999999988E+040, 0.0002786932
1.11969159063089E+016, 6.24915609678101E+036, 2.24999999999804E+040, 0.0002777403
1.11244205079451E+016, 6.20279439555481E+036, 2.24099999999636E+040, 0.0002767869
1.10521319038639E+016, 6.15659448364148E+036, 2.23199999999925E+040, 0.0002758331
1.09800502019855E+016, 6.11055639466799E+036, 2.22300000000018E+040, 0.0002748788
1.09081755109726E+016, 6.06468016249517E+036, 2.21399999999839E+040, 0.0002739241
1.0836507940246E+016, 6.01896582122267E+036, 2.20500000000145E+040, 0.000272969
1.07650475999144E+016, 5.97341340516849E+036, 2.19600000000239E+040, 0.0002720134
1.06937946008552E+016, 5.92802294889297E+036, 2.18700000000104E+040, 0.0002710573
1.06227490547043E+016, 5.88279448719583E+036, 2.17799999999844E+040, 0.0002701008
1.05519110738685E+016, 5.83772805512032E+036, 2.16899999999839E+040, 0.0002691438
1.04812807715077E+016, 5.79282368794785E+036, 2.15999999999952E+040, 0.0002681863
1.041085826156E+016, 5.74808142120593E+036, 2.1510000000003E+040, 0.0002672283
1.03406436587658E+016, 5.70350129067517E+036, 2.14200000000353E+040, 0.0002662699
1.02706370786218E+016, 5.65908333237617E+036, 2.13300000000016E+040, 0.000265311
1.02008386374952E+016, 5.61482758260333E+036, 2.12400000000054E+040, 0.0002643516
1.01312484525123E+016, 5.5707340778921E+036, 2.11499999999859E+040, 0.0002633917
1.00618666416664E+016, 5.52680285505126E+036, 2.10600000000128E+040, 0.0002624313
9.9926933237304E+015, 5.48303395113724E+036, 2.09699999999975E+040, 0.0002614704
9.92372861837123E+015, 5.43942740348802E+036, 2.08800000000055E+040, 0.000260509
9.85497264607596E+015, 5.3959832497018E+036, 2.07900000000088E+040, 0.0002595471
9.78642552819326E+015, 5.35270152764929E+036, 2.06999999999793E+040, 0.0002585846
9.71808738698541E+015, 5.30958227548927E+036, 2.06100000000146E+040, 0.0002576217
9.64995834553431E+015, 5.26662553164133E+036, 2.05200000000281E+040, 0.0002566582
9.58203852783721E+015, 5.22383133481419E+036, 2.04300000000034E+040, 0.0002556941
9.51432805882677E+015, 5.18119972401177E+036, 2.03400000000233E+040, 0.0002547296
9.44682706428792E+015, 5.13873073850934E+036, 2.02499999999908E+040, 0.0002537645
9.37953567098583E+015, 5.096424417891E+036, 2.01599999999783E+040, 0.0002527988
9.31245400660166E+015, 5.05428080203135E+036, 2.00700000000036E+040, 0.0002518326
9.24558219973108E+015, 5.01229993109541E+036, 1.99799999999919E+040, 0.0002508659
9.17892037996066E+015, 4.97048184556109E+036, 1.98899999999709E+040, 0.0002498985
9.11246867785644E+015, 4.92882658621629E+036, 1.98000000000029E+040, 0.0002489306
9.04622722490795E+015, 4.88733419414286E+036, 1.97099999999803E+040, 0.0002479622
8.98019615367378E+015, 4.84600471075946E+036, 1.96200000000298E+040, 0.0002469931
8.91437559762358E+015, 4.80483817777564E+036, 1.95299999999974E+040, 0.0002460235
8.84876569132891E+015, 4.76383463724815E+036, 1.94399999999904E+040, 0.0002450532
8.7833665703565E+015, 4.7229941315499E+036, 1.93500000000154E+040, 0.0002440824
8.71817837127945E+015, 4.68231670337365E+036, 1.92599999999737E+040, 0.0002431109
8.65320123179762E+015, 4.64180239576768E+036, 1.9169999999989E+040, 0.0002421389
8.58843529062191E+015, 4.60145125210212E+036, 1.90800000000144E+040, 0.0002411662
8.52388068754232E+015, 4.56126331608943E+036, 1.89899999999998E+040, 0.0002401929
8.45953756347266E+015, 4.52123863179771E+036, 1.88999999999867E+040, 0.000239219
8.3954060604342E+015, 4.48137724364634E+036, 1.88100000000165E+040, 0.0002382444
8.33148632152427E+015, 4.4416791963973E+036, 1.87199999999914E+040, 0.0002372692
8.26777849103755E+015, 4.40214453519084E+036, 1.86300000000019E+040, 0.0002362933
8.20428271437101E+015, 4.36277330551835E+036, 1.85399999999916E+040, 0.0002353168
8.14099913811542E+015, 4.32356555324926E+036, 1.84499999999919E+040, 0.0002343396
8.07792791002385E+015, 4.28452132462253E+036, 1.83599999999795E+040, 0.0002333617
8.01506917907115E+015, 4.24564066626424E+036, 1.82700000000125E+040, 0.0002323832
7.95242309540523E+015, 4.20692362517394E+036, 1.81800000000317E+040, 0.0002314039
7.88998981040911E+015, 4.16837024874328E+036, 1.80900000000034E+040, 0.000230424
7.82776947673585E+015, 4.12998058476651E+036, 1.79999999999776E+040, 0.0002294434
7.765762248304E+015, 4.09175468143976E+036, 1.79100000000238E+040, 0.000228462
7.70396828023406E+015, 4.05369258734296E+036, 1.781999999998E+040, 0.0002274799
7.64238772905423E+015, 4.01579435150035E+036, 1.77300000000415E+040, 0.0002264971
7.58102075247288E+015, 3.97806002331467E+036, 1.76399999999962E+040, 0.0002255136
7.51986750964057E+015, 3.94048965264404E+036, 1.75499999999881E+040, 0.0002245293
7.45892816101703E+015, 3.9030832897638E+036, 1.74600000000462E+040, 0.0002235443
7.39820286836731E+015, 3.86584098536585E+036, 1.73700000000125E+040, 0.0002225585
7.33769179492274E+015, 3.82876279060615E+036, 1.72799999999899E+040, 0.0002215719
7.27739510528867E+015, 3.79184875707844E+036, 1.71899999999925E+040, 0.0002205846
7.21731296548639E+015, 3.75509893682705E+036, 1.71000000000162E+040, 0.0002195964
7.15744554296245E+015, 3.71851338235014E+036, 1.70100000000053E+040, 0.0002186075
7.09779300666128E+015, 3.68209214662155E+036, 1.69200000000186E+040, 0.0002176177
7.03835552696902E+015, 3.64583528307502E+036, 1.68299999999865E+040, 0.0002166272
6.97913327582259E+015, 3.60974284563663E+036, 1.67399999999903E+040, 0.0002156358
6.92012642665459E+015, 3.57381488870943E+036, 1.66500000000202E+040, 0.0002146435
6.86133515442324E+015, 3.53805146718271E+036, 1.65599999999995E+040, 0.0002136505
6.80275963570528E+015, 3.50245263645988E+036, 1.64700000000112E+040, 0.0002126565
6.74440004862036E+015, 3.46701845243712E+036, 1.63799999999841E+040, 0.0002116617
6.68625657295403E+015, 3.43174897153982E+036, 1.62900000000122E+040, 0.000210666
6.62832939006363E+015, 3.39664425069603E+036, 1.61999999999772E+040, 0.0002096694
6.57061868303973E+015, 3.36170434738415E+036, 1.61099999999903E+040, 0.0002086719
6.51312463660871E+015, 3.32692931960531E+036, 1.60199999999991E+040, 0.0002076735
6.45584743721359E+015, 3.29231922590778E+036, 1.59299999999682E+040, 0.0002066742
6.39878727307327E+015, 3.25787412540493E+036, 1.58399999999873E+040, 0.0002056739
6.34194433411525E+015, 3.22359407775644E+036, 1.57499999999695E+040, 0.0002046726
6.28531881210541E+015, 3.18947914320702E+036, 1.56599999999858E+040, 0.0002036704
6.22891090059073E+015, 3.15552938257055E+036, 1.55699999999906E+040, 0.0002026673
6.17272079497748E+015, 3.1217448572537E+036, 1.54799999999856E+040, 0.0002016631
6.11674869254665E+015, 3.08812562926131E+036, 1.5389999999978E+040, 0.0002006579
6.06099479249195E+015, 3.05467176120838E+036, 1.53000000000102E+040, 0.0001996517
6.00545929590261E+015, 3.02138331631607E+036, 1.52100000000066E+040, 0.0001986445
5.95014240587032E+015, 2.98826035844371E+036, 1.51200000000251E+040, 0.0001976363
5.89504432744328E+015, 2.95530295207645E+036, 1.50300000000051E+040, 0.0001966269
5.84016526773184E+015, 2.92251116235691E+036, 1.49400000000106E+040, 0.0001956165
5.78550543587825E+015, 2.88988505507765E+036, 1.48500000000261E+040, 0.0001946051
5.73106504311051E+015, 2.85742469669767E+036, 1.47600000000236E+040, 0.0001935925
5.67684430279792E+015, 2.82513015435975E+036, 1.46700000000363E+040, 0.0001925787
5.62284343043793E+015, 2.79300149588781E+036, 1.45800000000007E+040, 0.0001915639
5.56906264376862E+015, 2.7610387898206E+036, 1.44900000000132E+040, 0.0001905479
5.51550216270573E+015, 2.72924210539474E+036, 1.4400000000001E+040, 0.0001895307
5.46216220946506E+015, 2.69761151258138E+036, 1.43100000000076E+040, 0.0001885123
5.40904300853717E+015, 2.66614708208022E+036, 1.42199999999822E+040, 0.0001874928
5.35614478679932E+015, 2.63484888535317E+036, 1.41300000000264E+040, 0.000186472
5.30346777344291E+015, 2.60371699460465E+036, 1.40400000000175E+040, 0.0001854499
5.25101220012901E+015, 2.57275148282817E+036, 1.39499999999967E+040, 0.0001844266
5.19877830098052E+015, 2.54195242380531E+036, 1.38600000000032E+040, 0.0001834021
5.14676631260009E+015, 2.51131989211242E+036, 1.37699999999927E+040, 0.0001823762
5.09497647416312E+015, 2.48085396314907E+036, 1.36800000000056E+040, 0.000181349
5.04340902742064E+015, 2.45055471314034E+036, 1.35900000000263E+040, 0.0001803204
4.99206421675751E+015, 2.42042221915534E+036, 1.35000000000276E+040, 0.0001792905
4.94094228924651E+015, 2.39045655912442E+036, 1.3409999999996E+040, 0.0001782593
4.89004349471786E+015, 2.36065781186092E+036, 1.3320000000007E+040, 0.0001772266
4.83936808574576E+015, 2.33102605705906E+036, 1.32300000000133E+040, 0.0001761924
4.78891631774484E+015, 2.30156137532355E+036, 1.31400000000029E+040, 0.0001751569
4.73868844902011E+015, 2.27226384818585E+036, 1.30499999999953E+040, 0.0001741198
4.68868474080058E+015, 2.24313355811572E+036, 1.29599999999769E+040, 0.0001730813
4.63890545732039E+015, 2.21417058854671E+036, 1.28699999999959E+040, 0.0001720412
4.58935086582697E+015, 2.18537502388032E+036, 1.27799999999986E+040, 0.0001709996
4.54002123668776E+015, 2.15674694951899E+036, 1.2690000000004E+040, 0.0001699564
4.4909168434174E+015, 2.12828645187598E+036, 1.25999999999963E+040, 0.0001689116
4.44203796275768E+015, 2.09999361840065E+036, 1.25099999999966E+040, 0.0001678652
4.39338487472719E+015, 2.071868537595E+036, 1.24200000000227E+040, 0.0001668171
4.3449578626563E+015, 2.04391129902606E+036, 1.23299999999921E+040, 0.0001657673
4.29675721332357E+015, 2.0161219933676E+036, 1.22399999999743E+040, 0.0001647158
4.24878321696921E+015, 1.98850071240648E+036, 1.21500000000072E+040, 0.0001636626
4.20103616733593E+015, 1.96104754905686E+036, 1.2060000000001E+040, 0.0001626076
4.15351636181179E+015, 1.93376259740405E+036, 1.1969999999996E+040, 0.0001615508
4.10622410145539E+015, 1.90664595271444E+036, 1.18799999999998E+040, 0.0001604921
4.05915969107055E+015, 1.87969771145973E+036, 1.17899999999902E+040, 0.0001594315
4.0123234393049E+015, 1.85291797134819E+036, 1.16999999999973E+040, 0.0001583691
3.96571565869605E+015, 1.82630683134091E+036, 1.16099999999913E+040, 0.0001573046
3.91933666578343E+015, 1.79986439168702E+036, 1.15199999999963E+040, 0.0001562382
3.87318678116171E+015, 1.77359075394219E+036, 1.14299999999874E+040, 0.0001551698
3.8272663295911E+015, 1.74748602100364E+036, 1.13399999999832E+040, 0.0001540993
