# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,epsilon[erg/cm^3],rho,n_b,mu
energia, pressao, rho, mu,,,,,
8120.2106406911,4158.7632737885,3.74,3283.1481054758,,6.6631E+036,7.41329900758569E+015,3.74E+039,0.0052601854
8087.4051972443,4139.3113029661,3.73,3277.9400804854,,6.6319E+036,7.37862445015123E+015,3.73E+039,0.0052518412
8054.6518494682,4119.8998939071,3.72,3272.7289632729,,6.6008E+036,7.3440221970199E+015,3.72E+039,0.0052434921
8021.950628384,4100.5290572782,3.71,3267.5147400707,,6.5698E+036,7.30949226720586E+015,3.71E+039,0.0052351379
7989.3015651119,4081.1988037807,3.7,3262.297396998,,6.5388E+036,7.27503467978496E+015,3.7E+039,0.0052267788
7956.704690959,4061.9091441805,3.69,3257.076920092,,6.5079E+036,7.2406494539482E+015,3.69E+039,0.0052184147
7924.1600372902,4042.6600892647,3.68,3251.8532952595,,6.4771E+036,7.20633660892438E+015,3.68E+039,0.0052100455
7891.6676356551,4023.4516498842,3.67,3246.6265083213,,6.4463E+036,7.17209616405602E+015,3.67E+039,0.0052016713
7859.2275177509,4004.283836941,3.66,3241.3965449978,,6.4156E+036,7.13792813877672E+015,3.66E+039,0.005193292
7826.8397154523,3985.1566613979,3.65,3236.1633909179,,6.3849E+036,7.10383255262849E+015,3.65E+039,0.0051849075
7794.5042606922,3966.07013424,3.64,3230.9270315748,,6.3543E+036,7.06980942519305E+015,3.64E+039,0.0051765179
7762.2211856114,3947.0242665233,3.63,3225.6874523787,,6.3238E+036,7.03585877617854E+015,3.63E+039,0.0051681232
7729.9905224934,3928.0190693534,3.62,3220.4446386317,,6.2934E+036,7.0019806253815E+015,3.62E+039,0.0051597233
7697.8123037333,3909.0545538758,3.61,3215.198575515,,6.2630E+036,6.9681749926696E+015,3.61E+039,0.0051513182
7665.6865619286,3890.1307313049,3.6,3209.9492481204,,6.2327E+036,6.93444189803332E+015,3.6E+039,0.0051429078
7633.6133297759,3871.247612891,3.59,3204.6966414114,,6.2024E+036,6.90078136152715E+015,3.59E+039,0.0051344922
7601.5926401475,3852.4052099446,3.58,3199.4407402492,,6.1722E+036,6.86719340331288E+015,3.58E+039,0.0051260713
7569.624526072,3833.603533831,3.57,3194.1815293846,,6.1421E+036,6.83367804364997E+015,3.57E+039,0.0051176451
7537.7090207076,3814.8425959606,3.56,3188.9189934461,,6.1121E+036,6.80023530287831E+015,3.56E+039,0.0051092136
7505.8461573984,3796.122407808,3.55,3183.6531169596,,6.0821E+036,6.7668652014522E+015,3.55E+039,0.0051007768
7474.0359696184,3777.4429808938,3.54,3178.3838843255,,6.0521E+036,6.73356775990796E+015,3.54E+039,0.0050923345
7442.278491007,3758.8043267957,3.53,3173.1112798308,,6.0223E+036,6.70034299888368E+015,3.53E+039,0.0050838869
7410.5737553706,3740.2064571493,3.52,3167.8352876477,,5.9925E+036,6.66719093912067E+015,3.52E+039,0.0050754338
7378.9217966804,3721.6493836476,3.51,3162.5558918313,,5.9627E+036,6.63411160146255E+015,3.51E+039,0.0050669753
7347.3226490119,3703.133118021,3.5,3157.2730762951,,5.9331E+036,6.60110500681961E+015,3.5E+039,0.0050585113
7315.7763466809,3684.6576720819,3.49,3151.9868248604,,5.9035E+036,6.56817117624833E+015,3.49E+039,0.0050500417
7284.2829240911,3666.223057675,3.48,3146.6971211972,,5.8739E+036,6.53531013086273E+015,3.48E+039,0.0050415667
7252.8424158849,3647.8292867264,3.47,3141.4039488793,,5.8445E+036,6.50252189192198E+015,3.47E+039,0.0050330861
7221.4548568016,3629.4763711973,3.46,3136.1072913292,,5.8151E+036,6.46980648074777E+015,3.46E+039,0.0050245999
7190.1202818009,3611.1643231247,3.45,3130.8071318625,,5.7857E+036,6.43716391879694E+015,3.45E+039,0.0050161081
7158.8387259763,3592.8931545929,3.44,3125.5034536538,,5.7565E+036,6.40459422761064E+015,3.44E+039,0.0050076107
7127.6102245882,3574.6628777442,3.43,3120.1962397471,,5.7272E+036,6.3720974288334E+015,3.43E+039,0.0049991076
7096.4348130937,3556.4735047889,3.42,3114.8854730651,,5.6981E+036,6.33967354423098E+015,3.42E+039,0.0049905988
7065.3125271019,3538.3250479908,3.41,3109.5711363908,,5.6690E+036,6.30732259566448E+015,3.41E+039,0.0049820843
7034.2434023839,3520.2175196704,3.4,3104.2532123689,,5.6400E+036,6.2750446050961E+015,3.4E+039,0.004973564
7003.2274749385,3502.1509322259,3.39,3098.9316835293,,5.6111E+036,6.24283959462655E+015,3.39E+039,0.004965038
6972.264780876,3484.1252980965,3.38,3093.6065322404,,5.5822E+036,6.21070758642959E+015,3.38E+039,0.0049565062
6941.3553565005,3466.1406297879,3.37,3088.2777407384,,5.5534E+036,6.17864860279755E+015,3.37E+039,0.0049479685
6910.4992383189,3448.1969398763,3.36,3082.9452911295,,5.5246E+036,6.14666266614843E+015,3.36E+039,0.004939425
6879.6964630079,3430.294240997,3.35,3077.6091653746,,5.4959E+036,6.11474979900557E+015,3.35E+039,0.0049308755
6848.9470674107,3412.432545844,3.34,3072.2693452858,,5.4673E+036,6.08291002399695E+015,3.34E+039,0.0049223202
6818.2510885509,3394.611867174,3.33,3066.92581253,,5.4388E+036,6.05114336386232E+015,3.33E+039,0.0049137589
6787.6085636788,3376.8322178218,3.32,3061.5785486448,,5.4103E+036,6.01944984148065E+015,3.32E+039,0.0049051917
6757.0195301609,3359.0936106643,3.31,3056.2275349925,,5.3819E+036,5.98782947980595E+015,3.31E+039,0.0048966184
6726.4840256137,3341.3960586641,3.3,3050.8727528115,,5.3535E+036,5.95628230194501E+015,3.3E+039,0.0048880391
6696.0020878179,3323.7395748416,3.29,3045.5141831792,,5.3252E+036,5.92480833110762E+015,3.29E+039,0.0048794537
6665.573754723,3306.1241722765,3.28,3040.151807012,,5.2970E+036,5.89340759060933E+015,3.28E+039,0.0048708622
6635.1990645042,3288.5498641265,3.27,3034.7856050858,,5.2688E+036,5.86208010390468E+015,3.27E+039,0.0048622646
6604.8780555131,3271.0166636112,3.26,3029.4155580136,,5.2407E+036,5.83082589455857E+015,3.26E+039,0.0048536608
6574.6107662987,3253.524584019,3.25,3024.0416462516,,5.2127E+036,5.79964498625856E+015,3.25E+039,0.0048450509
6544.3972356188,3236.0736387106,3.24,3018.6638501017,,5.1848E+036,5.76853740282106E+015,3.24E+039,0.0048364347
6514.2375023877,3218.6638411025,3.23,3013.2821496874,,5.1569E+036,5.73750316816196E+015,3.23E+039,0.0048278123
6484.1316057904,3201.295204704,3.22,3007.8965249983,,5.1290E+036,5.70654230636257E+015,3.22E+039,0.0048191835
6454.0795851346,3183.9677430688,3.21,3002.5069558266,,5.1013E+036,5.67565484158336E+015,3.21E+039,0.0048105485
6424.0814799689,3166.6814698339,3.2,2997.1134218134,,5.0736E+036,5.64484079813328E+015,3.2E+039,0.0048019071
6394.1373300793,3149.4363987184,3.19,2991.7159024444,,5.0460E+036,5.61410020046761E+015,3.19E+039,0.0047932593
6364.2471753657,3132.2325434832,3.18,2986.3143769965,,5.0184E+036,5.58343307311618E+015,3.18E+039,0.0047846051
6334.4110560404,3115.0699179959,3.17,2980.9088246171,,4.9909E+036,5.55283944079897E+015,3.17E+039,0.0047759445
6304.629012458,3097.9485361751,3.16,2975.499224251,,4.9635E+036,5.52231932832693E+015,3.16E+039,0.0047672773
6274.9010852006,3080.8684120187,3.15,2970.0855546728,,4.9361E+036,5.49187276065232E+015,3.15E+039,0.0047586037
6245.2273150767,3063.8295596031,3.14,2964.667794484,,4.9088E+036,5.46149976286736E+015,3.14E+039,0.0047499234
6215.6077431095,3046.8319930799,3.13,2959.2459221052,,4.8816E+036,5.4312003601983E+015,3.13E+039,0.0047412366
6186.042410514,3029.875726668,3.12,2953.8199157635,,4.8544E+036,5.40097457799137E+015,3.12E+039,0.0047325432
6156.5313587338,3012.9607746659,3.11,2948.3897535047,,4.8273E+036,5.37082244173469E+015,3.11E+039,0.0047238431
6127.07462946,2996.0871514581,3.1,2942.9554131994,,4.8003E+036,5.34074397706969E+015,3.1E+039,0.0047151364
6097.6722645675,2979.2548714939,3.09,2937.5168725118,,4.7733E+036,5.31073920975329E+015,3.09E+039,0.0047064229
6068.3243061753,2962.4639493075,3.08,2932.074108923,,4.7464E+036,5.28080816569377E+015,3.08E+039,0.0046977026
6039.0307966431,2945.714399517,3.07,2926.6270997264,,4.7196E+036,5.25095087094896E+015,3.07E+039,0.0046889755
6009.7917784981,2929.0062368002,3.06,2921.1758219929,,4.6928E+036,5.22116735168309E+015,3.06E+039,0.0046802416
5980.6072945913,2912.3394759457,3.05,2915.7202526351,,4.6661E+036,5.19145763425795E+015,3.05E+039,0.0046715008
5951.4773879322,2895.7141317996,3.04,2910.2603683329,,4.6394E+036,5.16182174513777E+015,3.04E+039,0.0046627531
5922.4021017863,2879.1302192967,3.03,2904.7961455719,,4.6129E+036,5.13225971094494E+015,3.03E+039,0.0046539984
5893.3814796562,2862.5877534544,3.02,2899.3275606327,,4.5864E+036,5.10277155844906E+015,3.02E+039,0.0046452368
5864.4155652852,2846.0867493746,3.01,2893.854589588,,4.5599E+036,5.07335731457037E+015,3.01E+039,0.0046364681
5835.50440266,2829.6272222437,3,2888.3772083012,,4.5336E+036,5.04401700637974E+015,3E+039,0.0046276924
5806.648036002,2813.2091873308,2.99,2882.895392419,,4.5073E+036,5.01475066109545E+015,2.99E+039,0.0046189096
5777.846509778,2796.8326599904,2.98,2877.4091173719,,4.4810E+036,4.98555830608802E+015,2.98E+039,0.0046101196
5749.0998687042,2780.4976556642,2.97,2871.9183583732,,4.4549E+036,4.95643996888341E+015,2.97E+039,0.0046013224
5720.4081577475,2764.2041898815,2.96,2866.4230904152,,4.4287E+036,4.92739567716373E+015,2.96E+039,0.004592518
5691.7714221143,2747.9522782558,2.95,2860.9232882611,,4.4027E+036,4.89842545876118E+015,2.95E+039,0.0045837063
5663.1897072765,2731.7419364927,2.94,2855.4189264521,,4.3767E+036,4.86952934167213E+015,2.94E+039,0.0045748874
5634.663058967,2715.5731803895,2.93,2849.9099793026,,4.3508E+036,4.84070735405643E+015,2.93E+039,0.0045660611
5606.1915231658,2699.4460258296,2.92,2844.3964208888,,4.3250E+036,4.8119595242274E+015,2.92E+039,0.0045572274
5577.7751461141,2683.3604887882,2.91,2838.8782250523,,4.2992E+036,4.783285880662E+015,2.91E+039,0.0045483862
5549.4139743199,2667.3165853336,2.9,2833.3553653978,,4.2735E+036,4.75468645200314E+015,2.9E+039,0.0045395376
5521.108054554,2651.3143316258,2.89,2827.8278152871,,4.2479E+036,4.72616126705721E+015,2.89E+039,0.0045306815
5492.8574338418,2635.3537439145,2.88,2822.295547832,,4.2223E+036,4.69771035479048E+015,2.88E+039,0.0045218179
5464.6621595148,2619.4348385555,2.87,2816.758535913,,4.1968E+036,4.66933374435836E+015,2.87E+039,0.0045129466
5436.5222791447,2603.5576319895,2.86,2811.2167521448,,4.1714E+036,4.64103146506759E+015,2.86E+039,0.0045040677
5408.4378405817,2587.7221407544,2.85,2805.6701688898,,4.1460E+036,4.61280354639818E+015,2.85E+039,0.0044951811
5380.4088919654,2571.9283814893,2.84,2800.1187582587,,4.1207E+036,4.58465001801056E+015,2.84E+039,0.0044862867
5352.4354817214,2556.1763709331,2.83,2794.5624921041,,4.0954E+036,4.55657090974302E+015,2.83E+039,0.0044773846
5324.5176585182,2540.4661259108,2.82,2789.0013419961,,4.0703E+036,4.52856625158737E+015,2.82E+039,0.0044684746
5296.6554713661,2524.7976633656,2.81,2783.4352792639,,4.0452E+036,4.50063607374608E+015,2.81E+039,0.0044595568
5268.8489695184,2509.1710003268,2.8,2777.8642749447,,4.0201E+036,4.47278040657513E+015,2.8E+039,0.0044506311
5241.0982025434,2493.5861539337,2.79,2772.2882998126,,3.9952E+036,4.44499928062658E+015,2.79E+039,0.0044416974
5213.403220311,2478.0431414306,2.78,2766.7073243675,,3.9703E+036,4.41729272663964E+015,2.78E+039,0.0044327557
5185.764072942,2462.5419801511,2.77,2761.1213188062,,3.9454E+036,4.38966077551272E+015,2.77E+039,0.0044238059
5158.1808109207,2447.0826875544,2.76,2755.5302530707,,3.9207E+036,4.36210345836812E+015,2.76E+039,0.004414848
5130.6534849772,2431.6652811871,2.75,2749.934096787,,3.8960E+036,4.33462080648394E+015,2.75E+039,0.004405882
5103.1821461768,2416.2897787126,2.74,2744.3328193027,,3.8713E+036,4.30721285134648E+015,2.74E+039,0.0043969077
5075.7668458824,2400.9561978989,2.73,2738.7263896635,,3.8468E+036,4.27987962462848E+015,2.73E+039,0.0043879253
5048.4076357825,2385.6645566274,2.72,2733.1147766213,,3.8223E+036,4.25262115820485E+015,2.72E+039,0.0043789345
5021.1045678589,2370.4148728832,2.71,2727.4979486133,,3.7978E+036,4.22543748413535E+015,2.71E+039,0.0043699353
4993.8576944283,2355.2071647678,2.7,2721.8758737763,,3.7735E+036,4.19832863468722E+015,2.7E+039,0.0043609277
4966.6670680997,2340.0414504863,2.69,2716.2485199204,,3.7492E+036,4.17129464231238E+015,2.69E+039,0.0043519117
4939.5327418594,2324.9177483744,2.68,2710.6158545648,,3.7249E+036,4.14433553969555E+015,2.68E+039,0.0043428872
4912.4547689549,2309.8360768612,2.67,2704.9778448749,,3.7008E+036,4.11745135968795E+015,2.67E+039,0.0043338541
4885.4332030124,2294.7964545073,2.66,2699.3344577142,,3.6767E+036,4.0906421353752E+015,2.66E+039,0.0043248124
4858.468097969,2279.7988999826,2.65,2693.6856596044,,3.6526E+036,4.06390790003775E+015,2.65E+039,0.004315762
4831.5595081013,2264.8434320763,2.64,2688.031416734,,3.6287E+036,4.03724868716874E+015,2.64E+039,0.0043067029
4804.7074880312,2249.9300696984,2.63,2682.3716949542,,3.6048E+036,4.01066453047662E+015,2.63E+039,0.004297635
4777.9120927124,2235.0588318755,2.62,2676.7064597664,,3.5810E+036,3.98415546387768E+015,2.62E+039,0.0042885583
4751.1733774626,2220.2297377614,2.61,2671.0356763311,,3.5572E+036,3.95772152151498E+015,2.61E+039,0.0042794727
4724.4913979325,2205.4428066275,2.6,2665.3593094461,,3.5335E+036,3.93136273774118E+015,2.6E+039,0.0042703782
4697.8662101398,2190.698057873,2.59,2659.6773235571,,3.5099E+036,3.90507914713679E+015,2.59E+039,0.0042612746
4671.2978704532,2175.995511021,2.58,2653.989682742,,3.4863E+036,3.87887078450315E+015,2.58E+039,0.004252162
4644.786435599,2161.3351857199,2.57,2648.2963507077,,3.4628E+036,3.85273768486497E+015,2.57E+039,0.0042430403
4618.331962669,2146.7171017462,2.56,2642.5972907872,,3.4394E+036,3.8266798834753E+015,2.56E+039,0.0042339094
4591.9345091405,2132.1412790116,2.55,2636.892465942,,3.4161E+036,3.8006974158282E+015,2.55E+039,0.0042247693
4565.5941328405,2117.6077375509,2.54,2631.1818387368,,3.3928E+036,3.77479031763716E+015,2.54E+039,0.0042156198
4539.310891978,2103.1164975328,2.53,2625.4653713481,,3.3696E+036,3.74895862485437E+015,2.53E+039,0.004206461
4513.0848451503,2088.6675792623,2.52,2619.7430255606,,3.3464E+036,3.72320237367497E+015,2.52E+039,0.0041972928
4486.9160513337,2074.2610031775,2.51,2614.0147627534,,3.3233E+036,3.69752160053135E+015,2.51E+039,0.0041881151
4460.8045699004,2059.8967898554,2.5,2608.2805439023,,3.3003E+036,3.67191634210353E+015,2.5E+039,0.0041789279
4434.7504605973,2045.5749600048,2.49,2602.5403295591,,3.2774E+036,3.64638663530646E+015,2.49E+039,0.004169731
4408.7537835782,2031.2955344775,2.48,2596.7940798612,,3.2545E+036,3.62093251730998E+015,2.48E+039,0.0041605245
4382.8145993986,2017.0585342662,2.47,2591.0417545202,,3.2317E+036,3.59555402553512E+015,2.47E+039,0.0041513083
4356.9329690285,2002.8639805089,2.46,2585.2833128201,,3.2089E+036,3.57025119766191E+015,2.46E+039,0.0041420822
4331.1089538209,1988.711894479,2.45,2579.5187135918,,3.1863E+036,3.54502407161173E+015,2.45E+039,0.0041328463
4305.3426155743,1974.6022976055,2.44,2573.7479152376,,3.1637E+036,3.51987268558334E+015,2.44E+039,0.0041236005
4279.6340164849,1960.5352114577,2.43,2567.9708756965,,3.1411E+036,3.49479707802559E+015,2.43E+039,0.0041143446
4253.9832191697,1946.510657753,2.42,2562.1875524474,,3.1187E+036,3.46979728765133E+015,2.42E+039,0.0041050787
4228.3902866853,1932.5286583629,2.41,2556.3979025096,,3.0963E+036,3.4448733534481E+015,2.41E+039,0.0040958027
4202.8552825235,1918.5892353118,2.4,2550.6018824314,,3.0739E+036,3.42002531467601E+015,2.4E+039,0.0040865164
4177.3782705774,1904.6924107661,2.39,2544.7994482609,,3.0517E+036,3.39525321084828E+015,2.39E+039,0.0040772199
4151.9593152465,1890.8382070686,2.38,2538.9905555946,,3.0295E+036,3.37055708179259E+015,2.38E+039,0.004067913
4126.5984813178,1877.0266467,2.37,2533.1751595012,,3.0073E+036,3.34593696758241E+015,2.37E+039,0.0040585957
4101.2958340548,1863.2577523079,2.36,2527.3532145605,,2.9853E+036,3.32139290858876E+015,2.36E+039,0.0040492679
4076.0514391808,1849.5315467015,2.35,2521.5246748435,,2.9633E+036,3.29692494547069E+015,2.35E+039,0.0040399296
4050.8653628706,1835.8480528491,2.34,2515.6894938973,,2.9414E+036,3.27253311917087E+015,2.34E+039,0.0040305806
4025.7376717715,1822.2072938851,2.33,2509.8476247453,,2.9195E+036,3.24821747092807E+015,2.33E+039,0.0040212209
4000.668433005,1808.6092931109,2.32,2503.9990198776,,2.8977E+036,3.22397804227872E+015,2.32E+039,0.0040118504
3975.6577141603,1795.0540739926,2.31,2498.143631235,,2.8760E+036,3.19981487505287E+015,2.31E+039,0.004002469
3950.7055833324,1781.5416601736,2.3,2492.28141022,,2.8543E+036,3.17572801139659E+015,2.3E+039,0.0039930767
3925.8121090883,1768.0720754642,2.29,2486.4123076648,,2.8328E+036,3.15171749375348E+015,2.29E+039,0.0039836734
3900.9773604688,1754.6453438417,2.28,2480.5362738204,,2.8113E+036,3.12778336486484E+015,2.28E+039,0.0039742589
