# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
1.70654046948212E+015, 4.36410234563763E+035, 8.2E+038, 0.0024027433
1.67988080451909E+015, 4.25690662330715E+035, 8.1E+038, 0.0023895904
1.65336781946664E+015, 4.15053056257223E+035, 8E+038, 0.0023763759
1.62700220635597E+015, 4.04497638550376E+035, 7.9E+038, 0.0023630986
1.60078467160594E+015, 3.94024636119818E+035, 7.8E+038, 0.0023497571
1.57471593646555E+015, 3.83634280726262E+035, 7.7E+038, 0.0023363501
1.54879673753833E+015, 3.7332680915389E+035, 7.6E+038, 0.0023228762
1.52302782730894E+015, 3.63102463384505E+035, 7.5E+038, 0.002309334
1.49740997470093E+015, 3.52961490782747E+035, 7.4E+038, 0.0022957219
1.47194396566409E+015, 3.42904144289955E+035, 7.3E+038, 0.0022820383
1.44663060376645E+015, 3.32930682621071E+035, 7.2E+038, 0.0022682817
1.42147071087862E+015, 3.23041370489593E+035, 7.1E+038, 0.0022544504
1.39646512780888E+015, 3.13236478820017E+035, 7E+038, 0.0022405427
1.37161471504265E+015, 3.03516284991209E+035, 6.9E+038, 0.0022265567
1.34692035348507E+015, 2.93881073083466E+035, 6.8E+038, 0.0022124906
1.32238294523516E+015, 2.84331134135337E+035, 6.7E+038, 0.0021983425
1.29800341443991E+015, 2.74866766426253E+035, 6.6E+038, 0.0021841102
1.27378270816803E+015, 2.6548827576636E+035, 6.5E+038, 0.0021697918
1.24972179731465E+015, 2.56195975797404E+035, 6.4E+038, 0.002155385
1.2258216776015E+015, 2.46990188324547E+035, 6.3E+038, 0.0021408876
1.20208337061099E+015, 2.3787124365859E+035, 6.2E+038, 0.0021262972
1.17850792487197E+015, 2.28839480978062E+035, 6.1E+038, 0.0021116113
1.15509641702251E+015, 2.19895248714551E+035, 6E+038, 0.0020968273
1.13184995304201E+015, 2.11038904961733E+035, 5.9E+038, 0.0020819425
1.10876966956797E+015, 2.02270817913088E+035, 5.8E+038, 0.0020669542
1.08585673526005E+015, 1.935913663158E+035, 5.7E+038, 0.0020518594
1.06311235229152E+015, 1.85000939965347E+035, 5.6E+038, 0.0020366549
1.04053775792027E+015, 1.76499940228611E+035, 5.5E+038, 0.0020213376
1.01813422615902E+015, 1.68088780598074E+035, 5.4E+038, 0.0020059041
995903069560836, 1.59767887286384E+035, 5.3E+038, 0.0019903509
973845641134065, 1.51537699862577E+035, 5.2E+038, 0.0019746741
951963336371308, 1.4339867192644E+035, 5.1E+038, 0.00195887
930257595448208, 1.3535127184006E+035, 5E+038, 0.0019429343
908729905558443, 1.27395983503759E+035, 4.9E+038, 0.0019268628
887381803444445, 1.19533307197399E+035, 4.8E+038, 0.0019106509
866214878081245, 1.11763760473114E+035, 4.7E+038, 0.0018942937
845230773615220, 1.04087879131198E+035, 4.6E+038, 0.0018777862
824431192497141, 9.65062182621572E+034, 4.5E+038, 0.0018611229
803817898880834, 8.90193533752885E+034, 4.4E+038, 0.0018442982
783392722299905, 8.16278816198555E+034, 4.3E+038, 0.001827306
763157561657327, 7.43324231102509E+034, 4.2E+038, 0.0018101399
743114389547636, 6.71336223599448E+034, 4.1E+038, 0.001792793
723265256973448, 6.0032149846171E+034, 4E+038, 0.0017752581
703612298484074, 5.30287037136826E+034, 3.9E+038, 0.0017575275
684157737781186, 4.61240116316752E+034, 3.8E+038, 0.0017395928
664903893869578, 3.93188328299942E+034, 3.7E+038, 0.0017214452
645853187813479, 3.26139603333712E+034, 3.6E+038, 0.0017030752
627008150151697, 2.60102234122741E+034, 3.5E+038, 0.0016844726
608371429093356, 1.95084902862613E+034, 3.4E+038, 0.0016656264
589945799586378, 1.31096711138049E+034, 3.3E+038, 0.0016465248
571734173374941, 6.81472130014524E+033, 3.2E+038, 0.0016271551
553739610191538, 6.24645175249897E+032, 3.1E+038, 0.0016075033
535965330266365, -5.45949990765703E+033, 3E+038, 0.0015875545
518414728324616, -1.14365989917903E+034, 2.9E+038, 0.0015672923
501091389351913, -1.73054743763778E+034, 2.8E+038, 0.0015466988
483999106385282, -2.30648798287954E+034, 2.7E+038, 0.0015257545
467141900684207, -2.87134940467218E+034, 2.6E+038, 0.0015044378
450524044726183, -3.42499132341299E+034, 2.5E+038, 0.0014827251
434150088518560, -3.96726426430721E+034, 2.4E+038, 0.0014605901
418024889884456, -4.49800868883587E+034, 2.3E+038, 0.0014380037
402153649523121, -5.01705388023317E+034, 2.2E+038, 0.0014149333
386541951841192, -5.52421665431053E+034, 2.1E+038, 0.0013913424
371195812844904, -6.01929985951425E+034, 2E+038, 0.0013671897
356121736720560, -6.50209062141982E+034, 1.9E+038, 0.0013424287
341326783221319, -6.97235827492986E+034, 1.8E+038, 0.0013170059
326818648687626, -7.42985191086002E+034, 1.7E+038, 0.0012908601
312605764400684, -7.87429744429097E+034, 1.6E+038, 0.0012639201
298697417359252, -8.30539408317739E+034, 1.5E+038, 0.0012361028
285103900465524, -8.72281003954364E+034, 1.4E+038, 0.00120731
271836701993380, -9.12617727636094E+034, 1.3E+038, 0.0011774243
258908748570375, -9.51508501940221E+034, 1.2E+038, 0.0011463036
246334722818873, -9.88907168257295E+034, 1.1E+038, 0.001113773
234131487958867, -1.02476147678015E+035, 1E+038, 0.0010796133
