# epsilon [erg/cm^3], pressure [erg/cm^3], baryonic_density [1/cm^3], chem_potential[erg]
1.447357e+40, 1.447339e+40, 2.190955e+42, 1.321203e-02
1.429680e+40, 1.429661e+40, 2.170854e+42, 1.317150e-02
1.412057e+40, 1.412038e+40, 2.150754e+42, 1.313072e-02
1.394488e+40, 1.394470e+40, 2.130653e+42, 1.308969e-02
1.376975e+40, 1.376957e+40, 2.110553e+42, 1.304839e-02
1.359518e+40, 1.359500e+40, 2.090452e+42, 1.300684e-02
1.342116e+40, 1.342098e+40, 2.070352e+42, 1.296502e-02
1.324771e+40, 1.324753e+40, 2.050251e+42, 1.292292e-02
1.307482e+40, 1.307464e+40, 2.030151e+42, 1.288055e-02
1.290250e+40, 1.290232e+40, 2.010050e+42, 1.283790e-02
1.273076e+40, 1.273058e+40, 1.989950e+42, 1.279496e-02
1.255959e+40, 1.255941e+40, 1.969849e+42, 1.275174e-02
1.238900e+40, 1.238882e+40, 1.949749e+42, 1.270822e-02
1.221900e+40, 1.221882e+40, 1.929648e+42, 1.266439e-02
1.204959e+40, 1.204941e+40, 1.909548e+42, 1.262027e-02
1.188077e+40, 1.188059e+40, 1.889447e+42, 1.257583e-02
1.171255e+40, 1.171237e+40, 1.869347e+42, 1.253107e-02
1.154493e+40, 1.154475e+40, 1.849246e+42, 1.248600e-02
1.137792e+40, 1.137774e+40, 1.829146e+42, 1.244059e-02
1.121152e+40, 1.121134e+40, 1.809045e+42, 1.239486e-02
1.104573e+40, 1.104555e+40, 1.788945e+42, 1.234878e-02
1.088057e+40, 1.088038e+40, 1.768844e+42, 1.230235e-02
1.071602e+40, 1.071584e+40, 1.748744e+42, 1.225558e-02
1.055211e+40, 1.055193e+40, 1.728643e+42, 1.220844e-02
1.038883e+40, 1.038865e+40, 1.708543e+42, 1.216094e-02
1.022619e+40, 1.022601e+40, 1.688442e+42, 1.211306e-02
1.006419e+40, 1.006401e+40, 1.668342e+42, 1.206480e-02
9.902847e+39, 9.902664e+39, 1.648241e+42, 1.201615e-02
